CO,error,beam,ref,CI,error,beam,ref
67.1,1.5,35,Montoya Arroyave et al.2023,90.8,5.2,9,Montoya Arroyave et al.2023
292.1,6.5,27,Montoya Arroyave et al.2023,,,,
389,19.2,20,Montoya Arroyave et al.2023,,,,
