CO,error,beam,ref,CI,error,beam,ref
101.0,11.9,43.5,Kamenetzky et al. 2016,852.0,200.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,822.0,65.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
1720.0,260.0,43.5,Kamenetzky et al. 2016,,,,
1490.0,135.0,43.5,Kamenetzky et al. 2016,,,,
1450.0,70.0,43.5,Kamenetzky et al. 2016,,,,
1060.0,60.0,43.5,Kamenetzky et al. 2016,,,,
674.0,85.5,43.5,Kamenetzky et al. 2016,,,,
582.0,102.0,43.5,Kamenetzky et al. 2016,,,,
520.0,99.5,43.5,Kamenetzky et al. 2016,,,,
383.0,83.0,43.5,Kamenetzky et al. 2016,,,,
nan,320.0,43.5,Kamenetzky et al. 2016,,,,
446.0,136.5,43.5,Kamenetzky et al. 2016,,,,
