CO,error,beam,ref,CI,error,beam,ref
34.6,1.1,10,Montoya Arroyave et al.2023,88,12.2,10,Montoya Arroyave et al.2023
183.8,9,27,Montoya Arroyave et al.2023,,,,
306.7,19.6,15,Montoya Arroyave et al.2023,,,,
