CO,error,beam,ref,CI,error,beam,ref
396.0,21.05,43.5,Kamenetzky et al. 2016,1130.0,281.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,1780.0,70.0,43.5,Kamenetzky et al. 2016
1370.0,209.5,43.5,Kamenetzky et al. 2016,,,,
1660.0,300.0,43.5,Kamenetzky et al. 2016,,,,
1550.0,210.0,43.5,Kamenetzky et al. 2016,,,,
1180.0,100.0,43.5,Kamenetzky et al. 2016,,,,
740.0,68.0,43.5,Kamenetzky et al. 2016,,,,
698.0,88.0,43.5,Kamenetzky et al. 2016,,,,
445.0,131.5,43.5,Kamenetzky et al. 2016,,,,
334.0,116.0,43.5,Kamenetzky et al. 2016,,,,
403.0,122.5,43.5,Kamenetzky et al. 2016,,,,
306.0,90.0,43.5,Kamenetzky et al. 2016,,,,
nan,351.0,43.5,Kamenetzky et al. 2016,,,,
