CO,error,beam,ref,CI,error,beam,ref
145,36.3,43.5,1,284.47994414256,74.293737477396,13.5,this work
539,135,43.5,1,419,30,43.5,Lu et al. 2017
nan,nan,nan,no,,,,
nan,nan,43.5,Lu et al. 2017,,,,
nan,nan,43.5,Lu et al. 2017,,,,
463.56543094079,52.9789063932331,43.5,Lu et al. 2017,,,,
276.271481567928,37.8454084339628,43.5,Lu et al. 2017,,,,
