CO,error,beam,ref,CI,error,beam,ref
nan,nan,,Montoya Arroyave et al.2023,115.4,16.7,13,Montoya Arroyave et al.2023
201,6.4,27,Montoya Arroyave et al.2023,,,,
nan,nan,,Montoya Arroyave et al.2023,,,,
