CO,error,beam,ref,CI,error,beam,ref
1110.0,69.40501102626204,43.5,Kamenetzky et al. 2016,3330.0,220.0,43.5,Kamenetzky et al. 2016
6540.0,1805.0522930444426,43.5,Kamenetzky et al. 2016,4790.0,95.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
8450.0,265.0,43.5,Kamenetzky et al. 2016,,,,
8270.0,165.0,43.5,Kamenetzky et al. 2016,,,,
8250.0,90.0,43.5,Kamenetzky et al. 2016,,,,
5720.0,80.0,43.5,Kamenetzky et al. 2016,,,,
4390.0,145.0,43.5,Kamenetzky et al. 2016,,,,
3060.0,135.0,43.5,Kamenetzky et al. 2016,,,,
2150.0,130.0,43.5,Kamenetzky et al. 2016,,,,
1350.0,100.0,43.5,Kamenetzky et al. 2016,,,,
919.0,96.0,43.5,Kamenetzky et al. 2016,,,,
520.0,215.0,43.5,Kamenetzky et al. 2016,,,,
