CO,error,beam,ref,CI,error,beam,ref
320.6,29.35441023083244,43.5,Kamenetzky et al. 2016,848.0,240.5,43.5,Kamenetzky et al. 2016
1072.3333333333333,297.9537851002325,43.5,Kamenetzky et al. 2016,755.0,103.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,1450.0,43.5,Kamenetzky et al. 2016,,,,
718.0,226.0,43.5,Kamenetzky et al. 2016,,,,
667.0,126.0,43.5,Kamenetzky et al. 2016,,,,
407.0,109.0,43.5,Kamenetzky et al. 2016,,,,
nan,641.0,43.5,Kamenetzky et al. 2016,,,,
nan,588.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,470.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
