CO,error,beam,ref,CI,error,beam,ref
16.5,0.8,,Montoya Arroyave et al.2023,93.9,14.0,,Montoya Arroyave et al.2023
48.8,3.6,,Montoya Arroyave et al.2023,,,,
nan,nan,,Montoya Arroyave et al.2023,,,,
