name,CO10,error,FWHM,ref,CO21,error,FWHM,ref,CO32,error,FWHM,ref,CO43,error,CO54,error,CO65,error,CO76,error,CO87,error,CO98,error,CO109,error,CO1110,error,CO1211,error,CO1312,error,CI10,error,CI21,error,APEX CI10,error,13CO10,error,beam,ref,13CO21,error,beam,ref,13CO32,error,beam,ref
UGC03094,156,38.9,43.5,1,385,96.3,43.5,1,546.637577110832,83.6584422940933,20.8,this work,nan,nan,nan,nan,377.88925654054,53.3490715116056,179.1162262568,34.2988518364086,nan,nan,nan,nan,208.14725061707,37.359762931269,nan,nan,nan,nan,nan,nan,nan,nan,444,38,115.547393776832,116.447089475456,12.7,1.4,22,Rubén 2014 tesis,nan,nan,nan,nan,nan,nan,nan,nan
NGC1572,nan,nan,nan,no,nan,nan,nan,no,nan,nan,nan,no,2310.59305305245,378.459206965487,1142.0856152136,143.42470516636,969.506437918506,66.4045505423634,664.1039824217,41.7436788950783,388.537198331037,63.0957843443564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,828,45,781.313440847072,96.35989288868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC2342A,145,36.3,43.5,1,539,135,43.5,1,nan,nan,nan,no,nan,nan,nan,nan,463.56543094079,52.9789063932331,276.271481567928,37.8454084339628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,419,30,284.47994414256,74.293737477396,7.2,1.2,22,Rubén 2014 tesis,nan,nan,nan,nan,nan,nan,nan,nan
NGC2342B,105,12.8,22,R. Herrero-Illana et al.2019,nan,nan,nan,no,nan,nan,nan,no,nan,nan,nan,nan,304.62871176109,48.5639975271304,325.47051253208,30.2763267471702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,404,34,295.12819712592,95.273275213248,6.8,1.2,22,Rubén 2014 tesis,nan,nan,nan,nan,nan,nan,nan,nan
MCG02-20,100,20.2,43.5,4,246,44.7,43.5,5,517,99,43.5,5,nan,nan,nan,nan,577.585788824861,52.9086218770864,306.141126376001,26.4566405510124,267.89856194112,59.5330137646934,311.662617827694,47.0434140117275,nan,nan,264.687177660069,40.9062001838289,nan,nan,nan,nan,nan,nan,365,30,119.687972484896,133.498146228504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IRASF18293,752,75.7,43.5,9,1910,193,43.5,9,2848.49508028795,319.284133365984,20.8,O-084.F-9306A-2009,3683.67778728383,218.635552122961,3466.57478965026,90.1097422386154,2919.91807393839,35.3394018025826,2033.4567791018,30.2935833013304,1242.62656734185,43.0777210011842,813.040040889001,53.0243504927609,434.854042405235,39.7732355858447,233.849236125176,36.1622530090479,185.659922954362,30.9433204923937,nan,nan,2638,143,2423,30,2849.49223283688,140.256366448288,25.9,5.2,45,TANIGUCHI et al. 1999,143,28,25,TANIGUCHI et al. 1999,nan,nan,nan,nan
NGC0034,115,28.8,43.5,1,472,118,43.5,1,405,111,43.5,5,nan,nan,817.442720097215,58.3887657212296,844.921492933017,26.5420364272152,800.123266343282,18.9602669749593,680.263253050437,29.8652159875801,648.99196032105,26.5496711040429,440.779649550798,21.242392749436,400.76159189745,19.3138116577084,258.963481585712,15.4935416333332,190.039144763798,16.3474533130149,547,81,367,19,288.858163644624,63.9721974275088,3,0.4,nan,Ueda et al. 2021,nan,nan,nan,nan,nan,nan,nan,nan
MRK331,59.4,11.9,43.5,6,577,88.9,43.5,5,1490,229,43.5,5,1530.89980149222,112.663621754839,1224.7931507296,47.7192136647897,1113.51915119003,22.0936339521832,810.592118564269,15.1512545526031,619.839025920194,19.8878831846051,500.93308557521,23.5733216741275,249.319048240997,21.2186424034891,202.568284674683,21.7037447865732,139.285969816652,15.4762188685169,112.263083766889,18.3703227982183,875,68,895,15,832.42583141224,84.377203405248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ESO353-G020,nan,nan,nan,no,674.41105519673,68.0621139247485,nan,2019.2.00037.S,1803.51145918926,200.435553107332,20.8,this work,nan,nan,1417.40045628095,95.1985381084226,956.453562017976,48.4838211161186,683.870993303646,34.0046350261481,257.8926220483,46.2884193420026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1024,34,1566.49510158872,106.603292674568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CGCG436,79.43,4.69,15,Yamashita et al. 2017,269,44,43.5,5,509,83.8,43.5,5,nan,nan,628.11572264358,69.7906358492867,487.670720547401,26.8442598466459,410.369820922861,23.0113918274501,459.791470847909,26.8491369838195,226.750065632216,38.7861954370897,161.132034544739,26.8553390907898,256.38020899413,24.4171627613457,nan,nan,nan,nan,nan,nan,321,23,382.855152814144,71.934344820856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
