Title: L'_CO_/L_FIR_ Relations with CO Rotational Ladders of Galaxies 
       Across the Herschel SPIRE Archive 
Authors: Kamenetzky J., Rangwala N., Glenn J., Maloney P.R., Conley A. 
Table: Line Fluxes and Uncertainty Ranges from SPIRE FTS
================================================================================
Byte-by-byte Description of file: apjaa22eat2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---       ID     Galaxy identifier
  18- 24 A7     ---       Line   Line identifier
  26- 26 A1     ---     f_Line   [X] Line is resolved? 
  28- 35 E8.2   Jy.km/s   Flux   Median line flux in Line
  37- 44 E8.2   Jy.km/s b_Flux   Lower 1{sigma} boundary for Flux
  46- 53 E8.2   Jy.km/s B_Flux   Upper 1{sigma} boundary for Flux
  55- 62 E8.2   Jy.km/s   UpLim  ? The 3{sigma} upper limit on the Line flux (1)
--------------------------------------------------------------------------------
Note (1): If blank the line is considered at least a 3{sigma} detection.
--------------------------------------------------------------------------------
UGC01845         CO12-11   1.08e+02 3.45e+01 1.98e+02 3.36e+02 
UGC01845         CO13-12   7.74e+01 2.08e+01 1.42e+02 2.66e+02 
UGC01845         NII     X 2.78e+03 2.64e+03 2.92e+03          
NGC0958          CI1-0     1.95e+02 7.18e+01 3.54e+02 5.19e+02 
NGC0958          CI2-1     1.32e+02 7.10e+01 1.95e+02          
NGC0958          CO5-4     4.08e+01 1.94e+00 1.17e+02 2.67e+02 
NGC0958          CO6-5     1.67e+02 6.79e+01 2.49e+02 3.89e+02 
NGC0958          CO7-6     8.15e+01 2.82e+01 1.43e+02 2.25e+02 
NGC0958          CO9-8     4.57e+02 2.55e+02 6.34e+02          
NGC0958          CO10-9    1.39e+02 3.71e+01 2.85e+02 4.51e+02 
NGC0958          CO12-11   1.11e+02 2.17e+01 2.57e+02 5.28e+02 
NGC0958          CO13-12   1.64e+02 4.44e+01 3.43e+02 5.33e+02 
NGC0958          NII     X 3.57e+03 3.32e+03 3.82e+03          
0235+164         CO8-7     3.05e+01 4.39e+00 7.92e+01 1.34e+02 
NGC1068          CI1-0     8.55e+03 8.13e+03 8.94e+03          
NGC1068          CI2-1     1.10e+04 1.07e+04 1.12e+04          
NGC1068          CO4-3     1.36e+04 1.30e+04 1.42e+04          
NGC1068          CO5-4     1.21e+04 1.18e+04 1.25e+04          
NGC1068          CO6-5     1.08e+04 1.06e+04 1.09e+04          
NGC1068          CO7-6     7.53e+03 7.30e+03 7.75e+03          
NGC1068          CO8-7     6.37e+03 5.84e+03 6.84e+03          
NGC1068          CO9-8     7.65e+03 6.99e+03 8.16e+03          
NGC1068          CO10-9    6.97e+03 6.49e+03 7.40e+03          
NGC1068          CO11-10   6.02e+03 5.55e+03 6.46e+03          
NGC1068          CO12-11   5.28e+03 4.88e+03 5.68e+03          
NGC1068          CO13-12   2.72e+03 1.98e+03 3.54e+03          
NGC1068          NII     X 3.83e+04 3.69e+04 3.98e+04          
NGC1056          CI1-0     7.72e+01 2.30e+01 1.43e+02 2.62e+02 
NGC1056          CI2-1     2.35e+02 1.82e+02 2.88e+02          
NGC1056          CO4-3     6.54e+01 1.58e+01 1.18e+02 2.06e+02 
NGC1056          CO5-4     1.12e+02 4.09e+01 1.91e+02 2.56e+02 
NGC1056          CO6-5     1.68e+02 1.15e+02 2.20e+02          
NGC1056          CO7-6     1.68e+02 1.21e+02 2.23e+02          
NGC1056          CO8-7     1.01e+02 3.77e+01 1.75e+02 3.06e+02 
NGC1056          CO9-8     2.57e+02 1.26e+02 3.84e+02          
NGC1056          CO10-9    8.53e+01 2.46e+01 1.86e+02 3.13e+02 
NGC1056          CO11-10   1.17e+02 4.31e+01 1.90e+02 3.13e+02 
NGC1056          CO12-11   8.53e+01 3.07e+01 1.47e+02 2.70e+02 
NGC1056          CO13-12   7.00e+01 1.57e+01 1.43e+02 2.68e+02 
NGC1056          NII       1.29e+03 1.20e+03 1.37e+03          
UGC02238         CI1-0     3.36e+02 1.82e+02 4.97e+02 7.53e+02 
UGC02238         CI2-1     3.98e+02 3.61e+02 4.39e+02          
UGC02238         CO5-4     5.00e+02 4.17e+02 5.86e+02          
UGC02238         CO6-5     3.45e+02 2.88e+02 4.04e+02          
UGC02238         CO7-6     1.63e+02 1.22e+02 2.06e+02          
UGC02238         CO8-7     7.49e+01 2.40e+01 1.36e+02 2.82e+02 
UGC02238         CO9-8     1.14e+02 3.85e+01 2.02e+02 3.27e+02 
UGC02238         CO10-9    1.02e+02 3.45e+01 1.70e+02 3.00e+02 
UGC02238         CO11-10   8.09e+01 2.74e+01 1.70e+02 3.28e+02 
UGC02238         NII       2.25e+03 2.16e+03 2.33e+03          
NGC1097          CI1-0     2.48e+03 2.19e+03 2.84e+03          
NGC1097          CI2-1     2.48e+03 2.38e+03 2.58e+03          
NGC1097          CO4-3     3.55e+03 3.22e+03 3.91e+03          
NGC1097          CO5-4     3.42e+03 3.18e+03 3.68e+03          
NGC1097          CO6-5     2.70e+03 2.58e+03 2.81e+03          
NGC1097          CO7-6     1.58e+03 1.49e+03 1.69e+03          
NGC1097          CO8-7     6.39e+02 4.27e+02 8.07e+02          
NGC1097          CO9-8     4.40e+02 1.78e+02 6.40e+02 8.95e+02 
NGC1097          CO10-9    4.87e+02 2.39e+02 6.98e+02 1.14e+03 
NGC1097          CO11-10   4.10e+02 2.10e+02 6.71e+02 1.04e+03 
NGC1097          CO12-11   3.56e+02 1.23e+02 5.44e+02 8.47e+02 
NGC1097          CO13-12   7.08e+02 2.74e+02 1.13e+03 1.52e+03 
NGC1097          NII     X 1.89e+04 1.84e+04 1.94e+04          
UGC02369         CI1-0     8.96e+01 2.36e+01 1.63e+02 3.05e+02 
UGC02369         CI2-1     2.81e+02 2.51e+02 3.10e+02          
UGC02369         CO5-4     4.87e+02 4.02e+02 5.71e+02          
UGC02369         CO6-5     3.12e+02 2.77e+02 3.49e+02          
UGC02369         CO7-6     2.95e+02 2.65e+02 3.24e+02          
UGC02369         CO8-7     2.33e+02 1.88e+02 2.81e+02          
UGC02369         CO9-8     2.39e+02 1.74e+02 3.02e+02          
UGC02369         CO10-9    1.70e+02 1.17e+02 2.16e+02          
UGC02369         CO12-11   7.59e+01 1.40e+01 1.21e+02 1.81e+02 
UGC02369         CO13-12   9.82e+01 3.44e+01 1.42e+02 2.08e+02 
UGC02369         NII       8.63e+02 8.09e+02 9.07e+02          
NGC1222          CI1-0     2.37e+02 1.34e+02 3.36e+02          
NGC1222          CI2-1     2.19e+02 1.93e+02 2.47e+02          
NGC1222          CO4-3     2.61e+02 1.40e+02 3.77e+02          
NGC1222          CO5-4     3.85e+02 3.10e+02 4.62e+02          
NGC1222          CO6-5     3.10e+02 2.77e+02 3.49e+02          
NGC1222          CO7-6     2.43e+02 2.16e+02 2.69e+02          
NGC1222          CO8-7     1.84e+02 1.47e+02 2.24e+02          
NGC1222          CO9-8     1.02e+02 4.27e+01 1.70e+02 2.59e+02 
NGC1222          CO10-9    6.89e+01 1.95e+01 1.10e+02 1.95e+02 
NGC1222          CO11-10   7.27e+01 3.59e+01 1.15e+02 2.04e+02 
NGC1222          CO12-11   4.46e+01 1.33e+01 8.83e+01 1.73e+02 
NGC1222          CO13-12   9.92e+01 4.38e+01 1.54e+02 2.43e+02 
NGC1222          NII       9.72e+02 9.19e+02 1.02e+03          
UGC02608         CI1-0     3.26e+02 1.05e+02 4.99e+02 7.60e+02 
UGC02608         CI2-1     3.75e+02 3.25e+02 4.21e+02          
UGC02608         CO5-4     1.80e+02 4.70e+01 3.09e+02 5.31e+02 
UGC02608         CO6-5     3.40e+02 2.70e+02 4.06e+02          
UGC02608         CO7-6     1.26e+02 8.18e+01 1.82e+02          
UGC02608         CO9-8     2.10e+02 8.86e+01 3.30e+02 4.68e+02 
UGC02608         CO10-9    1.26e+02 3.94e+01 2.06e+02 3.21e+02 
UGC02608         CO13-12   7.84e+01 2.73e+01 1.42e+02 2.26e+02 
UGC02608         NII       1.19e+03 1.12e+03 1.27e+03          
NGC1266          CI1-0     6.77e+02 4.78e+02 8.62e+02          
NGC1266          CI2-1     8.18e+02 7.69e+02 8.76e+02          
NGC1266          CO4-3     1.61e+03 1.36e+03 1.81e+03          
NGC1266          CO5-4     1.43e+03 1.33e+03 1.52e+03          
NGC1266          CO6-5     1.23e+03 1.18e+03 1.29e+03          
NGC1266          CO7-6     1.13e+03 1.07e+03 1.18e+03          
NGC1266          CO8-7     8.80e+02 8.22e+02 9.28e+02          
NGC1266          CO9-8     1.31e+03 1.24e+03 1.40e+03          
NGC1266          CO10-9    9.53e+02 8.96e+02 1.03e+03          
NGC1266          CO11-10   9.46e+02 8.73e+02 1.01e+03          
NGC1266          CO12-11   6.09e+02 5.44e+02 6.66e+02          
NGC1266          CO13-12   2.75e+02 1.67e+02 3.75e+02          
NGC1266          NII     X 1.07e+03 9.51e+02 1.20e+03          
IRAS 03158+4227  CI2-1     1.03e+02 4.27e+01 1.61e+02          
IRAS 03158+4227  CO5-4     1.60e+02 3.97e+01 3.20e+02 4.99e+02 
IRAS 03158+4227  CO6-5     2.12e+02 9.79e+01 3.31e+02          
IRAS 03158+4227  CO7-6     2.27e+02 1.70e+02 2.92e+02          
IRAS 03158+4227  CO8-7     1.68e+02 1.23e+02 2.21e+02          
IRAS 03158+4227  CO10-9    1.21e+02 5.51e+01 2.11e+02 3.30e+02 
IRAS 03158+4227  CO11-10   1.01e+02 4.30e+01 1.49e+02 2.49e+02 
IRAS 03158+4227  NII       1.02e+02 3.69e+01 1.52e+02 2.30e+02 
3C 84            CI1-0     1.73e+02 5.84e+01 2.80e+02 5.08e+02 
3C 84            CI2-1     4.75e+02 4.30e+02 5.10e+02          
3C 84            CO4-3     3.03e+02 9.43e+01 4.41e+02 7.59e+02 
3C 84            CO5-4     4.70e+02 3.91e+02 5.53e+02          
3C 84            CO6-5     3.69e+02 3.26e+02 4.18e+02          
3C 84            CO7-6     2.74e+02 2.34e+02 3.12e+02          
3C 84            CO8-7     3.01e+02 2.51e+02 3.46e+02          
3C 84            CO9-8     3.43e+02 2.74e+02 4.22e+02          
3C 84            CO10-9    3.55e+02 2.99e+02 4.12e+02          
3C 84            CO11-10   2.48e+02 1.93e+02 2.97e+02          
3C 84            CO12-11   2.19e+02 1.70e+02 2.60e+02          
3C 84            CO13-12   1.33e+02 7.74e+01 1.85e+02          
3C 84            NII       4.62e+02 4.18e+02 5.09e+02          
NGC1365-SW       CI1-0     3.71e+03 3.43e+03 3.96e+03          
NGC1365-SW       CI2-1     4.63e+03 4.49e+03 4.77e+03          
NGC1365-SW       CO4-3     7.95e+03 7.63e+03 8.21e+03          
NGC1365-SW       CO5-4     7.54e+03 7.35e+03 7.75e+03          
NGC1365-SW       CO6-5     5.86e+03 5.73e+03 5.97e+03          
NGC1365-SW       CO7-6     3.71e+03 3.56e+03 3.84e+03          
NGC1365-SW       CO8-7     3.56e+03 3.22e+03 3.88e+03          
NGC1365-SW       CO9-8     1.63e+03 1.27e+03 1.95e+03          
NGC1365-SW       CO10-9    9.77e+02 7.40e+02 1.18e+03          
NGC1365-SW       CO11-10   5.13e+02 2.50e+02 7.31e+02 1.08e+03 
NGC1365-SW       CO12-11   3.64e+02 1.47e+02 5.73e+02 9.55e+02 
NGC1365-SW       NII       2.09e+04 2.04e+04 2.13e+04          
NGC1365-NE       CI1-0     4.16e+03 3.85e+03 4.43e+03          
NGC1365-NE       CI2-1     4.78e+03 4.67e+03 4.88e+03          
NGC1365-NE       CO4-3     9.10e+03 8.69e+03 9.51e+03          
NGC1365-NE       CO5-4     8.37e+03 8.14e+03 8.58e+03          
NGC1365-NE       CO6-5     6.08e+03 5.97e+03 6.19e+03          
NGC1365-NE       CO7-6     3.80e+03 3.68e+03 3.89e+03          
NGC1365-NE       CO8-7     2.98e+03 2.73e+03 3.24e+03          
NGC1365-NE       CO9-8     1.62e+03 1.36e+03 1.84e+03          
NGC1365-NE       CO10-9    6.34e+02 4.67e+02 8.01e+02 1.08e+03 
NGC1365-NE       CO11-10   6.80e+02 5.58e+02 8.35e+02          
NGC1365-NE       CO12-11   4.36e+02 2.46e+02 5.53e+02 7.81e+02 
NGC1365-NE       CO13-12   1.97e+02 3.46e+01 4.97e+02 9.46e+02 
NGC1365-NE       NII       1.60e+04 1.57e+04 1.63e+04          
NGC1377          CI1-0     2.19e+02 1.68e+02 2.78e+02          
NGC1377          CI2-1     4.47e+01 2.22e+01 6.18e+01          
NGC1377          CO4-3     3.49e+02 2.69e+02 4.30e+02          
NGC1377          CO5-4     1.83e+02 1.39e+02 2.39e+02          
NGC1377          CO6-5     1.31e+02 1.03e+02 1.53e+02          
NGC1377          CO7-6     1.11e+02 9.01e+01 1.29e+02          
NGC1377          CO8-7     2.89e+01 1.20e+01 4.70e+01 8.79e+01 
NGC1377          CO9-8     1.33e+02 8.50e+01 1.86e+02          
NGC1377          CO10-9    1.61e+02 1.16e+02 2.03e+02          
NGC1377          CO11-10   1.65e+02 1.11e+02 2.09e+02          
NGC1377          CO12-11   1.19e+02 7.93e+01 1.58e+02          
NGC1377          CO13-12   1.99e+02 1.49e+02 2.40e+02          
NGC1377          NII       1.48e+02 9.97e+01 1.87e+02          
NGC1482          CI1-0     1.22e+03 9.56e+02 1.45e+03          
NGC1482          CI2-1     1.25e+03 1.18e+03 1.31e+03          
NGC1482          CO4-3     1.74e+03 1.43e+03 2.05e+03          
NGC1482          CO5-4     2.15e+03 1.99e+03 2.35e+03          
NGC1482          CO6-5     1.80e+03 1.71e+03 1.92e+03          
NGC1482          CO7-6     8.68e+02 8.05e+02 9.35e+02          
NGC1482          CO8-7     3.88e+02 2.63e+02 5.02e+02          
NGC1482          CO9-8     4.00e+02 2.54e+02 5.40e+02          
NGC1482          CO10-9    5.46e+02 4.29e+02 6.73e+02          
NGC1482          CO11-10   5.09e+02 3.59e+02 6.67e+02          
NGC1482          CO12-11   1.50e+02 5.18e+01 2.65e+02 4.24e+02 
NGC1482          CO13-12   5.89e+02 3.19e+02 8.68e+02          
NGC1482          NII       6.92e+03 6.72e+03 7.15e+03          
IRAS 03521+0028  CI2-1     3.10e+01 6.21e+00 7.78e+01 1.37e+02 
IRAS 03521+0028  CO5-4     1.50e+02 3.98e+01 2.62e+02 4.63e+02 
IRAS 03521+0028  CO6-5     1.48e+02 6.54e+01 2.48e+02 3.88e+02 
IRAS 03521+0028  CO7-6     8.87e+01 4.62e+01 1.54e+02 2.28e+02 
IRAS 03521+0028  CO8-7     1.29e+02 8.32e+01 1.87e+02          
IRAS 03521+0028  CO10-9    9.86e+01 6.87e+01 1.23e+02          
IRAS 03521+0028  CO11-10   3.51e+01 1.23e+01 6.75e+01 9.74e+01 
IRAS 03521+0028  CO12-11   2.16e+01 7.69e+00 4.33e+01 6.88e+01 
IRAS 03521+0028  CO13-12   2.98e+01 1.05e+01 4.98e+01 8.41e+01 
UGC02982         CI1-0     2.59e+02 7.01e+01 4.91e+02 8.49e+02 
UGC02982         CI2-1     4.28e+02 3.23e+02 5.17e+02          
UGC02982         CO5-4     4.64e+02 2.57e+02 6.93e+02 1.03e+03 
UGC02982         CO6-5     3.76e+02 2.62e+02 4.76e+02          
UGC02982         CO7-6     2.08e+02 1.02e+02 2.97e+02 4.39e+02 
UGC02982         CO8-7     9.72e+01 2.29e+01 1.86e+02 4.35e+02 
UGC02982         CO9-8     1.45e+02 4.62e+01 2.63e+02 4.19e+02 
UGC02982         CO11-10   1.34e+02 4.74e+01 2.60e+02 4.41e+02 
UGC02982         CO12-11   1.40e+02 3.57e+01 2.72e+02 4.41e+02 
UGC02982         NII       3.13e+03 2.99e+03 3.28e+03          
ESO420-G013      CI1-0     1.20e+03 5.44e+02 1.83e+03          
ESO420-G013      CI2-1     1.00e+03 8.73e+02 1.13e+03          
ESO420-G013      CO4-3     1.88e+03 1.06e+03 2.60e+03          
ESO420-G013      CO5-4     1.49e+03 1.10e+03 1.87e+03          
ESO420-G013      CO6-5     1.15e+03 9.37e+02 1.30e+03          
ESO420-G013      CO7-6     6.61e+02 5.36e+02 7.81e+02          
ESO420-G013      CO8-7     2.69e+02 8.48e+01 4.64e+02 7.71e+02 
ESO420-G013      CO9-8     1.59e+02 5.05e+01 2.95e+02 5.33e+02 
ESO420-G013      CO10-9    1.52e+02 4.78e+01 2.79e+02 5.38e+02 
ESO420-G013      CO11-10   9.16e+01 2.20e+01 1.82e+02 3.78e+02 
ESO420-G013      CO12-11   3.62e+02 2.37e+02 4.73e+02          
ESO420-G013      CO13-12   1.57e+02 4.28e+01 3.03e+02 4.39e+02 
ESO420-G013      NII       2.64e+03 2.51e+03 2.76e+03          
NGC1572          CI1-0     4.82e+02 1.30e+02 1.05e+03 1.67e+03 
NGC1572          CI2-1     9.33e+02 8.15e+02 1.05e+03          
NGC1572          CO5-4     1.36e+03 1.04e+03 1.69e+03          
NGC1572          CO6-5     1.06e+03 8.73e+02 1.23e+03          
NGC1572          CO7-6     7.31e+02 6.33e+02 8.37e+02          
NGC1572          CO8-7     3.58e+02 2.13e+02 5.04e+02          
NGC1572          CO9-8     1.61e+02 5.09e+01 2.85e+02 4.66e+02 
NGC1572          CO10-9    1.23e+02 3.89e+01 2.17e+02 3.84e+02 
NGC1572          CO11-10   1.23e+02 3.96e+01 2.42e+02 3.97e+02 
NGC1572          CO12-11   1.44e+02 6.28e+01 2.42e+02 3.65e+02 
NGC1572          NII     X 2.41e+03 2.27e+03 2.55e+03          
IRAS04271+3849   CI1-0     5.11e+01 5.54e+00 1.22e+02 2.99e+02 
IRAS04271+3849   CI2-1     2.16e+02 1.79e+02 2.57e+02          
IRAS04271+3849   CO5-4     2.46e+02 1.12e+02 3.53e+02 5.19e+02 
IRAS04271+3849   CO6-5     2.53e+02 1.97e+02 3.06e+02          
IRAS04271+3849   CO7-6     1.80e+02 1.45e+02 2.24e+02          
IRAS04271+3849   CO8-7     2.87e+02 2.14e+02 3.56e+02          
IRAS04271+3849   CO9-8     8.60e+01 2.67e+01 1.47e+02 2.66e+02 
IRAS04271+3849   CO10-9    1.66e+02 9.44e+01 2.25e+02          
IRAS04271+3849   CO13-12   5.14e+01 1.43e+01 9.25e+01 1.86e+02 
IRAS04271+3849   NII     X 1.82e+03 1.75e+03 1.89e+03          
NGC1614          CI1-0     8.42e+02 5.05e+02 1.08e+03          
NGC1614          CI2-1     1.08e+03 1.01e+03 1.14e+03          
NGC1614          CO4-3     2.08e+03 1.71e+03 2.41e+03          
NGC1614          CO5-4     2.25e+03 2.09e+03 2.42e+03          
NGC1614          CO6-5     1.72e+03 1.64e+03 1.81e+03          
NGC1614          CO7-6     1.40e+03 1.35e+03 1.46e+03          
NGC1614          CO8-7     1.10e+03 1.03e+03 1.17e+03          
NGC1614          CO9-8     6.98e+02 6.26e+02 7.74e+02          
NGC1614          CO10-9    5.93e+02 5.27e+02 6.57e+02          
NGC1614          CO11-10   2.82e+02 2.24e+02 3.39e+02          
NGC1614          CO12-11   1.96e+02 1.42e+02 2.54e+02          
NGC1614          CO13-12   1.03e+02 3.75e+01 1.74e+02 2.83e+02 
NGC1614          NII     X 2.18e+03 2.10e+03 2.26e+03          
UGC03094         CI1-0     3.23e+02 1.43e+02 5.31e+02 8.26e+02 
UGC03094         CI2-1     3.14e+02 2.65e+02 3.65e+02          
UGC03094         CO5-4     2.14e+02 8.77e+01 3.52e+02 5.45e+02 
UGC03094         CO6-5     2.68e+02 1.99e+02 3.35e+02          
UGC03094         CO7-6     1.13e+02 6.56e+01 1.63e+02          
UGC03094         CO8-7     5.45e+01 2.00e+01 1.14e+02 2.16e+02 
UGC03094         CO9-8     1.25e+02 3.96e+01 2.38e+02 4.62e+02 
UGC03094         CO10-9    2.05e+02 1.24e+02 3.06e+02 4.39e+02 
UGC03094         CO11-10   7.76e+01 2.02e+01 1.47e+02 3.01e+02 
UGC03094         NII       1.73e+03 1.63e+03 1.82e+03          
MCG-05-12-006    CI1-0     4.33e+02 1.49e+02 7.73e+02 1.35e+03 
MCG-05-12-006    CI2-1     4.65e+02 3.61e+02 5.55e+02          
MCG-05-12-006    CO5-4     3.93e+02 1.58e+02 6.60e+02 1.06e+03 
MCG-05-12-006    CO6-5     5.04e+02 3.73e+02 6.37e+02          
MCG-05-12-006    CO7-6     6.37e+02 5.31e+02 7.30e+02          
MCG-05-12-006    CO8-7     1.14e+02 2.91e+01 2.49e+02 4.30e+02 
MCG-05-12-006    CO9-8     5.33e+02 3.30e+02 7.05e+02          
MCG-05-12-006    CO10-9    3.31e+02 2.34e+02 4.68e+02          
MCG-05-12-006    CO12-11   8.30e+01 1.60e+01 1.59e+02 3.39e+02 
MCG-05-12-006    NII       7.23e+02 6.20e+02 8.19e+02          
IRAS F05189-2524 CI1-0     3.57e+02 1.53e+02 5.58e+02 7.72e+02 
IRAS F05189-2524 CI2-1     2.11e+02 1.60e+02 2.58e+02          
IRAS F05189-2524 CO5-4     2.61e+02 1.24e+02 3.79e+02 5.99e+02 
IRAS F05189-2524 CO6-5     3.75e+02 3.07e+02 4.53e+02          
IRAS F05189-2524 CO7-6     2.98e+02 2.45e+02 3.50e+02          
IRAS F05189-2524 CO8-7     3.88e+02 3.34e+02 4.37e+02          
IRAS F05189-2524 CO9-8     2.27e+02 1.85e+02 2.66e+02          
IRAS F05189-2524 CO10-9    2.59e+02 2.21e+02 2.89e+02          
IRAS F05189-2524 CO11-10   1.62e+02 1.30e+02 1.90e+02          
IRAS F05189-2524 CO12-11   1.46e+02 1.21e+02 1.74e+02          
IRAS F05189-2524 CO13-12   1.40e+02 1.13e+02 1.64e+02          
IRAS F05189-2524 NII       1.88e+02 1.60e+02 2.13e+02          
IRAS05223+1908   CO7-6     1.72e+02 1.72e+02 1.72e+02          
IRAS05223+1908   CO8-7     8.11e+01 8.11e+01 8.11e+01          
MCG+08-11-002    CI1-0     8.24e+02 4.30e+02 1.27e+03          
MCG+08-11-002    CI2-1     1.03e+03 9.34e+02 1.12e+03          
MCG+08-11-002    CO5-4     1.64e+03 1.37e+03 1.95e+03          
MCG+08-11-002    CO6-5     1.18e+03 1.06e+03 1.32e+03          
MCG+08-11-002    CO7-6     8.02e+02 6.99e+02 8.83e+02          
MCG+08-11-002    CO8-7     5.96e+02 4.76e+02 7.20e+02          
MCG+08-11-002    CO9-8     5.65e+02 4.28e+02 7.05e+02          
MCG+08-11-002    CO10-9    3.04e+02 2.09e+02 4.09e+02          
MCG+08-11-002    CO11-10   1.92e+02 8.25e+01 2.81e+02 4.35e+02 
MCG+08-11-002    CO12-11   7.86e+01 2.34e+01 1.46e+02 2.61e+02 
MCG+08-11-002    CO13-12   1.49e+02 5.16e+01 2.33e+02 3.79e+02 
MCG+08-11-002    NII       1.12e+03 1.02e+03 1.22e+03          
NGC1961          CI1-0     5.04e+02 2.83e+02 8.66e+02          
NGC1961          CI2-1     7.29e+02 6.28e+02 8.25e+02          
NGC1961          CO4-3     1.50e+03 1.22e+03 1.97e+03          
NGC1961          CO5-4     1.09e+03 9.25e+02 1.28e+03          
NGC1961          CO6-5     5.43e+02 4.19e+02 6.60e+02          
NGC1961          CO7-6     4.89e+02 3.91e+02 5.88e+02          
NGC1961          CO8-7     5.20e+02 3.70e+02 6.85e+02          
NGC1961          CO9-8     3.86e+02 1.37e+02 6.67e+02 9.96e+02 
NGC1961          CO10-9    2.03e+02 4.38e+01 4.81e+02 6.88e+02 
NGC1961          CO11-10   2.20e+02 5.81e+01 4.45e+02 7.72e+02 
NGC1961          CO12-11   5.04e+02 3.09e+02 7.34e+02          
NGC1961          CO13-12   2.23e+02 7.21e+01 4.32e+02 7.55e+02 
NGC1961          NII     X 3.29e+03 2.84e+03 3.73e+03          
UGC03351         CI1-0     6.11e+02 2.65e+02 9.57e+02 1.50e+03 
UGC03351         CI2-1     8.64e+02 7.55e+02 9.71e+02          
UGC03351         CO4-3     1.41e+03 8.48e+02 1.86e+03          
UGC03351         CO5-4     1.18e+03 8.80e+02 1.47e+03          
UGC03351         CO6-5     9.47e+02 8.12e+02 1.05e+03          
UGC03351         CO7-6     5.11e+02 4.11e+02 6.23e+02          
UGC03351         CO8-7     2.59e+02 1.13e+02 3.76e+02 5.79e+02 
UGC03351         CO9-8     1.36e+02 3.96e+01 2.68e+02 5.09e+02 
UGC03351         CO10-9    2.65e+02 1.27e+02 4.03e+02 6.01e+02 
UGC03351         CO11-10   1.42e+02 3.87e+01 2.70e+02 4.48e+02 
UGC03351         CO13-12   1.79e+02 8.78e+01 2.94e+02 4.80e+02 
UGC03351         NII       2.23e+03 2.12e+03 2.34e+03          
IRAS05442+1732   CI1-0     6.35e+02 2.74e+02 1.15e+03 2.01e+03 
IRAS05442+1732   CI2-1     3.28e+02 2.42e+02 4.12e+02          
IRAS05442+1732   CO5-4     6.58e+02 2.80e+02 1.09e+03 1.83e+03 
IRAS05442+1732   CO6-5     5.13e+02 3.88e+02 6.89e+02          
IRAS05442+1732   CO7-6     3.76e+02 2.94e+02 4.60e+02          
IRAS05442+1732   CO8-7     4.48e+02 3.44e+02 5.39e+02          
IRAS05442+1732   CO9-8     2.38e+02 1.04e+02 3.88e+02 5.98e+02 
IRAS05442+1732   CO11-10   1.56e+02 3.98e+01 2.62e+02 4.55e+02 
IRAS05442+1732   CO13-12   1.17e+02 4.69e+01 2.18e+02 3.40e+02 
IRAS05442+1732   NII       7.09e+02 6.31e+02 7.90e+02          
IRAS 06035-7102  CI1-0     1.12e+02 1.12e+01 2.42e+02 4.35e+02 
IRAS 06035-7102  CI2-1     1.47e+02 1.02e+02 1.95e+02          
IRAS 06035-7102  CO5-4     5.20e+02 3.22e+02 6.78e+02          
IRAS 06035-7102  CO6-5     2.69e+02 1.85e+02 3.58e+02          
IRAS 06035-7102  CO7-6     3.07e+02 2.61e+02 3.58e+02          
IRAS 06035-7102  CO8-7     3.32e+02 2.85e+02 3.83e+02          
IRAS 06035-7102  CO9-8     2.84e+02 2.18e+02 3.62e+02          
IRAS 06035-7102  CO10-9    3.01e+02 2.48e+02 3.63e+02          
IRAS 06035-7102  CO11-10   2.20e+02 1.77e+02 2.58e+02          
IRAS 06035-7102  CO12-11   1.38e+02 9.06e+01 1.87e+02          
IRAS 06035-7102  CO13-12   3.60e+01 1.01e+01 7.09e+01 1.28e+02 
IRAS 06035-7102  NII       2.50e+02 2.12e+02 2.87e+02          
UGC03410a        CI1-0     5.86e+02 2.32e+02 8.99e+02 1.28e+03 
UGC03410a        CI2-1     5.84e+02 4.79e+02 6.80e+02          
UGC03410a        CO4-3     4.20e+02 1.13e+02 8.51e+02 1.55e+03 
UGC03410a        CO5-4     3.29e+02 1.26e+02 5.34e+02 8.79e+02 
UGC03410a        CO6-5     3.44e+02 2.32e+02 4.58e+02          
UGC03410a        CO7-6     6.62e+01 1.15e+01 1.50e+02 2.44e+02 
UGC03410a        CO9-8     2.26e+02 7.64e+01 4.12e+02 7.59e+02 
UGC03410a        CO10-9    1.32e+02 2.52e+01 2.78e+02 5.20e+02 
UGC03410a        CO11-10   3.01e+02 1.09e+02 4.52e+02 7.17e+02 
UGC03410a        CO13-12   2.06e+02 6.39e+01 3.78e+02 6.41e+02 
UGC03410a        NII       4.12e+03 3.94e+03 4.27e+03          
NGC2146-NW       CI1-0     3.27e+03 2.96e+03 3.54e+03          
NGC2146-NW       CI2-1     4.11e+03 4.01e+03 4.21e+03          
NGC2146-NW       CO4-3     7.57e+03 7.16e+03 7.96e+03          
NGC2146-NW       CO5-4     7.43e+03 7.20e+03 7.63e+03          
NGC2146-NW       CO6-5     6.68e+03 6.57e+03 6.80e+03          
NGC2146-NW       CO7-6     4.47e+03 4.34e+03 4.58e+03          
NGC2146-NW       CO8-7     3.43e+03 3.24e+03 3.57e+03          
