Title: L'_CO_/L_FIR_ Relations with CO Rotational Ladders of Galaxies 
       Across the Herschel SPIRE Archive 
Authors: Kamenetzky J., Rangwala N., Glenn J., Maloney P.R., Conley A. 
Table: Line Fluxes and Uncertainty Ranges from SPIRE FTS
================================================================================
Byte-by-byte Description of file: apjaa22eat2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---       ID     Galaxy identifier
  18- 24 A7     ---       Line   Line identifier
  26- 26 A1     ---     f_Line   [X] Line is resolved? 
  28- 35 E8.2   Jy.km/s   Flux   Median line flux in Line
  37- 44 E8.2   Jy.km/s b_Flux   Lower 1{sigma} boundary for Flux
  46- 53 E8.2   Jy.km/s B_Flux   Upper 1{sigma} boundary for Flux
  55- 62 E8.2   Jy.km/s   UpLim  ? The 3{sigma} upper limit on the Line flux (1)
--------------------------------------------------------------------------------
Note (1): If blank the line is considered at least a 3{sigma} detection.
--------------------------------------------------------------------------------
NGC205-copeak    CI2-1     1.48e+01 2.37e+00 3.98e+01 8.43e+01 
NGC205-copeak    CO4-3     2.35e+02 1.02e+02 3.53e+02 5.54e+02 
NGC205-copeak    CO6-5     3.44e+01 6.89e+00 7.64e+01 1.25e+02 
NGC205-copeak    CO7-6     3.38e+01 1.40e+01 5.87e+01 1.11e+02 
NGC205-copeak    CO8-7     9.27e+01 4.70e+01 1.54e+02 2.15e+02 
NGC205-copeak    CO9-8     7.92e+01 2.44e+01 1.75e+02 3.26e+02 
NGC205-copeak    CO10-9    6.83e+01 1.14e+01 1.35e+02 2.41e+02 
NGC205-copeak    CO11-10   1.55e+02 8.46e+01 2.39e+02 3.54e+02 
NGC205-copeak    CO13-12   2.01e+02 1.27e+02 2.66e+02          
IRAS 00397-1312  CI2-1     5.06e+01 1.49e+01 9.44e+01 1.63e+02 
IRAS 00397-1312  CO5-4     2.17e+02 6.59e+01 3.42e+02 5.50e+02 
IRAS 00397-1312  CO6-5     1.12e+02 3.07e+01 2.04e+02 3.63e+02 
IRAS 00397-1312  CO8-7     6.38e+01 2.74e+01 9.86e+01 1.55e+02 
IRAS 00397-1312  CO12-11   9.00e+01 5.23e+01 1.28e+02 1.84e+02 
IRAS 00397-1312  CO13-12   4.05e+01 1.07e+01 7.34e+01 1.23e+02 
IRAS 00397-1312  NII       4.67e+01 1.55e+01 7.45e+01 1.23e+02 
NGC0232a         CI1-0     7.91e+02 4.48e+02 1.32e+03          
NGC0232a         CI2-1     8.13e+02 7.41e+02 8.77e+02          
NGC0232a         CO5-4     1.05e+03 8.39e+02 1.27e+03          
NGC0232a         CO6-5     8.34e+02 7.33e+02 9.32e+02          
NGC0232a         CO7-6     6.29e+02 5.62e+02 7.01e+02          
NGC0232a         CO8-7     4.60e+02 3.70e+02 5.41e+02          
NGC0232a         CO9-8     1.98e+02 1.09e+02 3.18e+02 5.02e+02 
NGC0232a         CO10-9    2.40e+02 1.63e+02 3.30e+02          
NGC0232a         CO11-10   7.18e+01 1.89e+01 1.64e+02 2.94e+02 
NGC0232a         CO12-11   4.96e+01 8.86e+00 1.01e+02 1.77e+02 
NGC0232a         CO13-12   8.22e+01 2.75e+01 1.35e+02 2.55e+02 
NGC0232a         NII     X 2.15e+03 2.06e+03 2.24e+03          
NGC253           CI1-0     2.60e+04 2.47e+04 2.69e+04          
NGC253           CI2-1     4.00e+04 3.90e+04 4.11e+04          
NGC253           CO4-3     7.53e+04 7.38e+04 7.72e+04          
NGC253           CO5-4     8.44e+04 8.35e+04 8.53e+04          
NGC253           CO6-5     7.44e+04 7.38e+04 7.50e+04          
NGC253           CO7-6     6.27e+04 6.15e+04 6.37e+04          
NGC253           CO8-7     5.15e+04 4.99e+04 5.27e+04          
NGC253           CO9-8     4.23e+04 4.04e+04 4.37e+04          
NGC253           CO10-9    2.97e+04 2.77e+04 3.13e+04          
