I Zw 1          , CI1-0  ,  ,233,80,509,714
I Zw 1          , CI2-1  ,  ,94.2,53.7,135,205
I Zw 1          , CO6-5  ,  ,73.1,23.4,134,226
I Zw 1          , CO7-6  ,  ,56.8,18,98.4,166
I Zw 1          , CO8-7  ,  ,87,32.1,127,198
I Zw 1          , CO9-8  ,  ,210,139,278,          
I Zw 1          , CO10-9 ,  ,41.3,9.6,88.2,155
I Zw 1          , CO11-10,  ,50.5,18.9,98.1,156
I Zw 1          , CO12-11,  ,16.8,2.21,41.9,104
I Zw 1          , CO13-12,  ,29.8,8.46,62.1,128
I Zw 1          , NII    ,  ,227,189,267,          
MCG+12-02-001   , CI1-0  ,  ,438,305,560,          
MCG+12-02-001   , CI2-1  ,  ,631,599,669,          
MCG+12-02-001   , CO4-3  ,  ,1220,1080,1350,          
MCG+12-02-001   , CO5-4  ,  ,1210,1140,1280,          
MCG+12-02-001   , CO6-5  ,  ,947,914,979,          
MCG+12-02-001   , CO7-6  ,  ,653,618,692,          
MCG+12-02-001   , CO8-7  ,  ,516,449,574,          
MCG+12-02-001   , CO9-8  ,  ,462,400,518,          
MCG+12-02-001   , CO10-9 ,  ,268,215,324,          
MCG+12-02-001   , CO11-10,  ,293,236,345,          
MCG+12-02-001   , CO12-11,  ,82.6,37.7,124,193
MCG+12-02-001   , CO13-12,  ,93.6,30.7,167,257
MCG+12-02-001   , NII    ,  ,1790,1740,1850,          
NGC0317B        , CI1-0  ,  ,158,59.6,261,433
NGC0317B        , CI2-1  ,  ,427,384,468,          
NGC0317B        , CO4-3  ,  ,156,44,248,409
NGC0317B        , CO5-4  ,  ,417,348,512,          
NGC0317B        , CO6-5  ,  ,358,308,408,          
NGC0317B        , CO7-6  ,  ,376,332,421,          
NGC0317B        , CO8-7  ,  ,194,136,250,          
NGC0317B        , CO9-8  ,  ,330,244,414,          
NGC0317B        , CO10-9 ,  ,121,55.3,195,305
NGC0317B        , CO11-10,  ,265,198,330,          
NGC0317B        , CO13-12,  ,56.2,19.3,102,183
NGC0317B        , NII    ,  ,641,581,701,          
IRAS 01003-2238 , CI2-1  ,  ,67.7,30.7,97.2,150
IRAS 01003-2238 , CO6-5  ,  ,78,23.5,155,228
IRAS 01003-2238 , CO7-6  ,  ,46.3,20.9,75,125
IRAS 01003-2238 , CO8-7  ,  ,40,9.76,75.7,107
IRAS 01003-2238 , CO10-9 ,  ,130,75.9,177,          
IRAS 01003-2238 , CO11-10,  ,83,47.6,114,166
IRAS 01003-2238 , CO12-11,  ,49.1,15.3,98.6,141
IRAS 01003-2238 , CO13-12,  ,36.3,11.2,65.3,98.9
3C 31           , CI1-0  ,  ,56.2,11.2,119,230
3C 31           , CI2-1  ,  ,32.2,13.1,47,73.9
3C 31           , CO4-3  ,  ,145,42.1,237,431
3C 31           , CO6-5  ,  ,26.6,7.48,52.2,88.3
3C 31           , CO7-6  ,  ,37.6,21.8,52.3,          
3C 31           , CO10-9 ,  ,69.5,37.3,103,          
3C 31           , CO12-11,  ,50.4,22.1,75.1,121
3C 31           , NII    ,  ,82.8,56.4,110,          
IC1623          , CI1-0  ,  ,1770,1410,2100,          
IC1623          , CI2-1  ,  ,1380,1330,1430,          
IC1623          , CO5-4  ,  ,3360,3250,3520,          
IC1623          , CO6-5  ,  ,1890,1820,1980,          
IC1623          , CO7-6  ,  ,1210,1160,1260,          
IC1623          , CO8-7  ,  ,815,753,881,          
IC1623          , CO9-8  ,  ,555,463,644,          
IC1623          , CO10-9 ,  ,312,249,394,          
IC1623          , CO11-10,  ,151,73.9,227,367
IC1623          , CO12-11,  ,196,143,269,          
IC1623          , CO13-12,  ,258,161,338,          
IC1623          , NII    , X,2990,2870,3110,          
MCG-03-04-014   , CI1-0  ,  ,403,203,585,1010
MCG-03-04-014   , CI2-1  ,  ,376,308,414,          
MCG-03-04-014   , CO5-4  ,  ,530,389,695,          
MCG-03-04-014   , CO6-5  ,  ,514,452,573,          
MCG-03-04-014   , CO7-6  ,  ,394,336,447,          
MCG-03-04-014   , CO8-7  ,  ,165,81.5,243,          
MCG-03-04-014   , CO9-8  ,  ,89.6,22.2,144,252
MCG-03-04-014   , CO10-9 ,  ,69.2,28.2,123,194
MCG-03-04-014   , CO11-10,  ,51.3,17.8,95.1,138
MCG-03-04-014   , CO12-11,  ,81.7,36.7,132,210
MCG-03-04-014   , CO13-12,  ,78.9,30.9,127,183
MCG-03-04-014   , NII    , X,1850,1790,1910,          
ESO244-G012     , CI2-1  ,  ,434,360,519,          
ESO244-G012     , CO5-4  ,  ,473,228,661,946
ESO244-G012     , CO6-5  ,  ,892,774,1010,          
ESO244-G012     , CO7-6  ,  ,385,314,463,          
ESO244-G012     , CO8-7  ,  ,336,245,434,          
ESO244-G012     , CO9-8  ,  ,175,76.6,322,483
ESO244-G012     , CO10-9 ,  ,190,94.7,276,393
ESO244-G012     , CO11-10,  ,150,56.4,231,351
ESO244-G012     , CO12-11,  ,108,34.3,180,309
ESO244-G012     , CO13-12,  ,111,35.8,190,312
ESO244-G012     , NII    ,  ,604,527,674,          
CGCG436-030     , CI1-0  ,  ,385,149,619,962
CGCG436-030     , CI2-1  ,  ,344,293,401,          
CGCG436-030     , CO5-4  ,  ,614,475,789,          
CGCG436-030     , CO6-5  ,  ,530,458,605,          
CGCG436-030     , CO7-6  ,  ,433,379,497,          
CGCG436-030     , CO8-7  ,  ,450,378,523,          
CGCG436-030     , CO9-8  ,  ,194,124,276,          
CGCG436-030     , CO10-9 ,  ,152,82.7,195,          
CGCG436-030     , CO11-10,  ,221,164,279,          
CGCG436-030     , CO12-11,  ,47,13.7,89.5,158
CGCG436-030     , CO13-12,  ,55.7,17.2,104,173
CGCG436-030     , NII    ,  ,384,344,429,          
ESO353-G020     , CI1-0  ,  ,319,115,597,964
ESO353-G020     , CI2-1  ,  ,830,778,888,          
ESO353-G020     , CO4-3  ,  ,575,347,843,          
ESO353-G020     , CO5-4  ,  ,1070,932,1230,          
ESO353-G020     , CO6-5  ,  ,744,668,812,          
ESO353-G020     , CO7-6  ,  ,560,483,619,          
ESO353-G020     , CO8-7  ,  ,192,123,277,          
ESO353-G020     , CO9-8  ,  ,63.9,12.4,139,279
ESO353-G020     , CO10-9 ,  ,94.5,35.4,182,270
ESO353-G020     , CO11-10,  ,128,54.5,203,331
ESO353-G020     , CO12-11,  ,106,43.8,191,277
ESO353-G020     , NII    , X,3370,3280,3460,          
IRASF01417+1651 , CI1-0  ,  ,166,72.3,257,385
IRASF01417+1651 , CI2-1  ,  ,163,127,190,          
IRASF01417+1651 , CO5-4  ,  ,121,54.5,209,336
IRASF01417+1651 , CO6-5  ,  ,242,195,286,          
IRASF01417+1651 , CO7-6  ,  ,305,269,339,          
IRASF01417+1651 , CO8-7  ,  ,368,322,416,          
IRASF01417+1651 , CO9-8  ,  ,352,255,445,          
IRASF01417+1651 , CO10-9 ,  ,423,360,493,          
IRASF01417+1651 , CO11-10,  ,150,88.6,203,309
IRASF01417+1651 , CO12-11,  ,158,99.5,218,          
IRASF01417+1651 , CO13-12,  ,80.8,34.9,124,231
IRASF01417+1651 , NII    ,  ,90.4,38.4,140,220
NGC0695         , CI1-0  ,  ,578,213,895,1440
NGC0695         , CI2-1  ,  ,471,425,526,          
NGC0695         , CO5-4  ,  ,1080,893,1300,          
NGC0695         , CO6-5  ,  ,467,372,563,          
NGC0695         , CO7-6  ,  ,374,323,434,          
NGC0695         , CO8-7  ,  ,231,165,291,          
NGC0695         , CO9-8  ,  ,110,42.5,208,377
