CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,2480.0,325.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,2480.0,100.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
3550.0,345.0,43.5,Kamenetzky et al. 2016,,,,
3420.0,250.0,43.5,Kamenetzky et al. 2016,,,,
2700.0,115.0,43.5,Kamenetzky et al. 2016,,,,
1580.0,100.0,43.5,Kamenetzky et al. 2016,,,,
639.0,190.0,43.5,Kamenetzky et al. 2016,,,,
nan,895.0,43.5,Kamenetzky et al. 2016,,,,
nan,1140.0,43.5,Kamenetzky et al. 2016,,,,
nan,1040.0,43.5,Kamenetzky et al. 2016,,,,
nan,847.0,43.5,Kamenetzky et al. 2016,,,,
nan,1520.0,43.5,Kamenetzky et al. 2016,,,,
