CO,error,beam,ref,CI,error,beam,ref
890.0,83.0,43.5,Kamenetzky et al. 2016,1510.0,260.0,43.5,Kamenetzky et al. 2016
3560.0,268.0,43.5,Kamenetzky et al. 2016,2770.0,100.0,43.5,Kamenetzky et al. 2016
7060.0,1080.0,43.5,Kamenetzky et al. 2016,,,,
1570.0,255.0,43.5,Kamenetzky et al. 2016,,,,
1930.0,255.0,43.5,Kamenetzky et al. 2016,,,,
1320.0,150.0,43.5,Kamenetzky et al. 2016,,,,
884.0,105.0,43.5,Kamenetzky et al. 2016,,,,
nan,731.0,43.5,Kamenetzky et al. 2016,,,,
nan,1750.0,43.5,Kamenetzky et al. 2016,,,,
nan,1810.0,43.5,Kamenetzky et al. 2016,,,,
nan,1230.0,43.5,Kamenetzky et al. 2016,,,,
nan,1020.0,43.5,Kamenetzky et al. 2016,,,,
nan,1890.0,43.5,Kamenetzky et al. 2016,,,,
