CO,error,beam,ref,CI,error,beam,ref
465.3333333333333,73.452828778445,43.5,Kamenetzky et al. 2016,1040.0,153.5,43.5,Kamenetzky et al. 2016
2010.0,151.0,43.5,Kamenetzky et al. 2016,1140.0,50.0,43.5,Kamenetzky et al. 2016
2270.0,171.5,43.5,Kamenetzky et al. 2016,,,,
1640.0,165.0,43.5,Kamenetzky et al. 2016,,,,
1600.0,90.0,43.5,Kamenetzky et al. 2016,,,,
1310.0,50.0,43.5,Kamenetzky et al. 2016,,,,
734.0,45.0,43.5,Kamenetzky et al. 2016,,,,
531.0,73.5,43.5,Kamenetzky et al. 2016,,,,
362.0,66.5,43.5,Kamenetzky et al. 2016,,,,
nan,252.0,43.5,Kamenetzky et al. 2016,,,,
202.0,56.5,43.5,Kamenetzky et al. 2016,,,,
nan,183.0,43.5,Kamenetzky et al. 2016,,,,
nan,175.0,43.5,Kamenetzky et al. 2016,,,,
