CO,error,beam,ref,CI,error,beam,ref
8633.333333333334,812.4977948688024,43.5,Kamenetzky et al. 2016,26000.0,1100.0,43.5,Kamenetzky et al. 2016
32400.0,1211.4299401946444,43.5,Kamenetzky et al. 2016,40000.0,1050.0,43.5,Kamenetzky et al. 2016
69000.0,4825.0,43.5,Kamenetzky et al. 2016,,,,
75300.0,1700.0,43.5,Kamenetzky et al. 2016,,,,
84400.0,900.0,43.5,Kamenetzky et al. 2016,,,,
74400.0,600.0,43.5,Kamenetzky et al. 2016,,,,
62700.0,1100.0,43.5,Kamenetzky et al. 2016,,,,
51500.0,1400.0,43.5,Kamenetzky et al. 2016,,,,
42300.0,1650.0,43.5,Kamenetzky et al. 2016,,,,
29700.0,1800.0,43.5,Kamenetzky et al. 2016,,,,
21900.0,2000.0,43.5,Kamenetzky et al. 2016,,,,
15900.0,1250.0,43.5,Kamenetzky et al. 2016,,,,
nan,17700.0,43.5,Kamenetzky et al. 2016,,,,
