CO,error,beam,ref,CI,error,beam,ref
525.0,47.05,43.5,Kamenetzky et al. 2016,1270.0,250.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,917.0,90.0,43.5,Kamenetzky et al. 2016
2640.0,416.0,43.5,Kamenetzky et al. 2016,,,,
1520.0,270.0,43.5,Kamenetzky et al. 2016,,,,
748.0,231.0,43.5,Kamenetzky et al. 2016,,,,
305.0,117.5,43.5,Kamenetzky et al. 2016,,,,
nan,216.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,1000.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,1100.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
