CO,error,beam,ref,CI,error,beam,ref
138.0,12.994830703014182,43.5,Kamenetzky et al. 2016,943.0,336.0,43.5,Kamenetzky et al. 2016
369.0,46.1,43.5,Kamenetzky et al. 2016,155.0,65.35,43.5,Kamenetzky et al. 2016
722.0,83.5,43.5,Kamenetzky et al. 2016,,,,
1430.0,430.0,43.5,Kamenetzky et al. 2016,,,,
691.0,225.0,43.5,Kamenetzky et al. 2016,,,,
517.0,109.0,43.5,Kamenetzky et al. 2016,,,,
nan,239.0,43.5,Kamenetzky et al. 2016,,,,
nan,256.0,43.5,Kamenetzky et al. 2016,,,,
nan,437.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,504.0,43.5,Kamenetzky et al. 2016,,,,
nan,271.0,43.5,Kamenetzky et al. 2016,,,,
nan,346.0,43.5,Kamenetzky et al. 2016,,,,
