CO,error,beam,ref,CI,error,beam,ref
2518.0,916.7408047670835,43.5,Kamenetzky et al. 2016,1870.0,200.0,43.5,Kamenetzky et al. 2016
2660.0,143.0,43.5,Kamenetzky et al. 2016,1660.0,70.0,43.5,Kamenetzky et al. 2016
8100.0,1240.0,43.5,Kamenetzky et al. 2016,,,,
3140.0,230.0,43.5,Kamenetzky et al. 2016,,,,
2970.0,115.0,43.5,Kamenetzky et al. 2016,,,,
2370.0,80.0,43.5,Kamenetzky et al. 2016,,,,
1120.0,70.0,43.5,Kamenetzky et al. 2016,,,,
414.0,125.5,43.5,Kamenetzky et al. 2016,,,,
nan,660.0,43.5,Kamenetzky et al. 2016,,,,
nan,494.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,370.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
