CO,error,beam,ref,CI,error,beam,ref
126,13,nan,Sliwa et al. 2017,1235.5941009268,51.3202451630936,13.5,this work
644.33989290115,66.1998959800383,nan,2018.1.00503.S,1586,34,43.5,Lu et al. 2017
1824.49530817028,235.500778764568,20.8,this work,,,,
1844.47397731134,362.187617362955,43.5,Lu et al. 2017,,,,
2430.82683942244,107.321273263684,43.5,Lu et al. 2017,,,,
2298.61015319534,49.1920460800559,43.5,Lu et al. 2017,,,,
1985.74471268168,34.5013560118439,43.5,Lu et al. 2017,,,,
1707.49776561216,40.2553500733713,43.5,Lu et al. 2017,,,,
1183.93089559724,53.6794864502526,43.5,Lu et al. 2017,,,,
942.192786453955,42.948958926676,43.5,Lu et al. 2017,,,,
641.878700475518,36.6090513579193,43.5,Lu et al. 2017,,,,
400.52064387313,33.563182447469,43.5,Lu et al. 2017,,,,
272.679984817122,37.1836342932439,43.5,Lu et al. 2017,,,,
