CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,1370.0,195.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,1150.0,45.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
1990.0,210.0,43.5,Kamenetzky et al. 2016,,,,
1540.0,145.0,43.5,Kamenetzky et al. 2016,,,,
1050.0,68.5,43.5,Kamenetzky et al. 2016,,,,
571.0,49.0,43.5,Kamenetzky et al. 2016,,,,
450.0,55.0,43.5,Kamenetzky et al. 2016,,,,
410.0,106.0,43.5,Kamenetzky et al. 2016,,,,
247.0,87.5,43.5,Kamenetzky et al. 2016,,,,
nan,466.0,43.5,Kamenetzky et al. 2016,,,,
nan,236.0,43.5,Kamenetzky et al. 2016,,,,
nan,625.0,43.5,Kamenetzky et al. 2016,,,,
