CO,error,beam,ref,CI,error,beam,ref
1170.0,116.5,43.5,Kamenetzky et al. 2016,992.0,219.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,818.0,71.0,43.5,Kamenetzky et al. 2016
2260.0,341.5,43.5,Kamenetzky et al. 2016,,,,
1500.0,255.0,43.5,Kamenetzky et al. 2016,,,,
1010.0,164.0,43.5,Kamenetzky et al. 2016,,,,
774.0,97.5,43.5,Kamenetzky et al. 2016,,,,
362.0,68.5,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,1010.0,43.5,Kamenetzky et al. 2016,,,,
nan,832.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,562.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
