CO,error,beam,ref,CI,error,beam,ref
2250,327,43.5,10,3785.38490787728,84.670873175768,13.5,this work
11400,1140,43.5,13,11002,164,43.5,Lu et al. 2017
6492.44860041699,669.832990269811,20.8,this work,,,,
16708.0469385947,1156.10801725225,43.5,Lu et al. 2017,,,,
12123.5306212551,548.694273806808,43.5,Lu et al. 2017,,,,
9624.53560265202,230.814654724234,43.5,Lu et al. 2017,,,,
7514.89190416373,149.327211210407,43.5,Lu et al. 2017,,,,
6599.01383908489,235.212374462432,43.5,Lu et al. 2017,,,,
4266.21708863297,124.879057053245,43.5,Lu et al. 2017,,,,
3346.0154046341,96.7207577902046,43.5,Lu et al. 2017,,,,
2726.12610843539,85.5628072394718,43.5,Lu et al. 2017,,,,
2152.85176413763,76.2649916445517,43.5,Lu et al. 2017,,,,
1108.45032938132,78.4565568890591,43.5,Lu et al. 2017,,,,
