CO,error,beam,ref,CI,error,beam,ref
208.0,10.9,43.5,Kamenetzky et al. 2016,741.0,272.0,43.5,Kamenetzky et al. 2016
1120.0,86.0,43.5,Kamenetzky et al. 2016,529.0,71.0,43.5,Kamenetzky et al. 2016
1130.0,91.5,43.5,Kamenetzky et al. 2016,,,,
nan,1580.0,43.5,Kamenetzky et al. 2016,,,,
613.0,198.5,43.5,Kamenetzky et al. 2016,,,,
676.0,89.0,43.5,Kamenetzky et al. 2016,,,,
414.0,81.5,43.5,Kamenetzky et al. 2016,,,,
435.0,93.5,43.5,Kamenetzky et al. 2016,,,,
441.0,159.5,43.5,Kamenetzky et al. 2016,,,,
nan,487.0,43.5,Kamenetzky et al. 2016,,,,
301.0,124.0,43.5,Kamenetzky et al. 2016,,,,
nan,357.0,43.5,Kamenetzky et al. 2016,,,,
nan,522.0,43.5,Kamenetzky et al. 2016,,,,
