CO,error,beam,ref,CI,error,beam,ref
210.0,11.55,43.5,Kamenetzky et al. 2016,925.0,294.0,43.5,Kamenetzky et al. 2016
1080.0,82.5,43.5,Kamenetzky et al. 2016,1180.0,50.0,43.5,Kamenetzky et al. 2016
1130.0,91.0,43.5,Kamenetzky et al. 2016,,,,
1610.0,330.0,43.5,Kamenetzky et al. 2016,,,,
946.0,183.5,43.5,Kamenetzky et al. 2016,,,,
847.0,94.5,43.5,Kamenetzky et al. 2016,,,,
568.0,51.5,43.5,Kamenetzky et al. 2016,,,,
493.0,77.0,43.5,Kamenetzky et al. 2016,,,,
387.0,148.0,43.5,Kamenetzky et al. 2016,,,,
294.0,107.0,43.5,Kamenetzky et al. 2016,,,,
nan,477.0,43.5,Kamenetzky et al. 2016,,,,
nan,408.0,43.5,Kamenetzky et al. 2016,,,,
nan,355.0,43.5,Kamenetzky et al. 2016,,,,
