CO,error,beam,ref,CI,error,beam,ref
2480.0,248.0,43.5,Kamenetzky et al. 2016,3770.0,290.0,43.5,Kamenetzky et al. 2016
5630.0,291.5,43.5,Kamenetzky et al. 2016,3040.0,110.0,43.5,Kamenetzky et al. 2016
10075.0,944.0044027969361,43.5,Kamenetzky et al. 2016,,,,
8660.0,335.0,43.5,Kamenetzky et al. 2016,,,,
7000.0,240.0,43.5,Kamenetzky et al. 2016,,,,
4830.0,145.0,43.5,Kamenetzky et al. 2016,,,,
3290.0,100.0,43.5,Kamenetzky et al. 2016,,,,
2090.0,175.0,43.5,Kamenetzky et al. 2016,,,,
2280.0,250.0,43.5,Kamenetzky et al. 2016,,,,
1390.0,255.0,43.5,Kamenetzky et al. 2016,,,,
1170.0,279.0,43.5,Kamenetzky et al. 2016,,,,
nan,914.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
