CO,error,beam,ref,CI,error,beam,ref
114,22.8,43.5,4,1079.97462124088,88.509823879288,13.5,this work
267,56.6,43.5,11,729,15,43.5,Lu et al. 2017
614,130,43.5,11,,,,
1126.6694033611,119.294407414704,43.5,Lu et al. 2017,,,,
1044.55133281576,53.0229102952165,43.5,Lu et al. 2017,,,,
936.797672752984,22.0942847347402,43.5,Lu et al. 2017,,,,
844.70732198593,18.9396260534962,43.5,Lu et al. 2017,,,,
894.981104789342,26.5179586604249,43.5,Lu et al. 2017,,,,
657.125697166904,26.5207680470947,43.5,Lu et al. 2017,,,,
602.096712832327,21.219267412593,43.5,Lu et al. 2017,,,,
412.383297609065,19.2927858530556,43.5,Lu et al. 2017,,,,
316.166355213871,17.687628263713,43.5,Lu et al. 2017,,,,
253.10968051284,16.32965680728,43.5,Lu et al. 2017,,,,
