CO,error,beam,ref,CI,error,beam,ref
6040.0,570.7078694237729,43.5,Kamenetzky et al. 2016,16700.0,800.0,43.5,Kamenetzky et al. 2016
25850.0,5465.551207334902,43.5,Kamenetzky et al. 2016,33200.0,700.0,43.5,Kamenetzky et al. 2016
72100.0,10987.89134684176,43.5,Kamenetzky et al. 2016,,,,
55200.0,1100.0,43.5,Kamenetzky et al. 2016,,,,
63000.0,850.0,43.5,Kamenetzky et al. 2016,,,,
62800.0,450.0,43.5,Kamenetzky et al. 2016,,,,
56800.0,750.0,43.5,Kamenetzky et al. 2016,,,,
51300.0,1350.0,43.5,Kamenetzky et al. 2016,,,,
40300.0,1300.0,43.5,Kamenetzky et al. 2016,,,,
29500.0,900.0,43.5,Kamenetzky et al. 2016,,,,
19500.0,950.0,43.5,Kamenetzky et al. 2016,,,,
14000.0,850.0,43.5,Kamenetzky et al. 2016,,,,
8590.0,2395.0,43.5,Kamenetzky et al. 2016,,,,
