CO,error,beam,ref,CI,error,beam,ref
287.0,28.8,43.5,Kamenetzky et al. 2016,438.0,127.5,43.5,Kamenetzky et al. 2016
1240.0,94.0,43.5,Kamenetzky et al. 2016,631.0,35.0,43.5,Kamenetzky et al. 2016
1700.0,131.5,43.5,Kamenetzky et al. 2016,,,,
1220.0,135.0,43.5,Kamenetzky et al. 2016,,,,
1210.0,70.0,43.5,Kamenetzky et al. 2016,,,,
947.0,32.5,43.5,Kamenetzky et al. 2016,,,,
653.0,37.0,43.5,Kamenetzky et al. 2016,,,,
516.0,62.5,43.5,Kamenetzky et al. 2016,,,,
462.0,59.0,43.5,Kamenetzky et al. 2016,,,,
268.0,54.5,43.5,Kamenetzky et al. 2016,,,,
293.0,54.5,43.5,Kamenetzky et al. 2016,,,,
nan,193.0,43.5,Kamenetzky et al. 2016,,,,
nan,257.0,43.5,Kamenetzky et al. 2016,,,,
