CO,error,beam,ref,CI,error,beam,ref
264.0,41.2802616270779,43.5,Kamenetzky et al. 2016,1030.0,377.5,43.5,Kamenetzky et al. 2016
352.0,44.0,43.5,Kamenetzky et al. 2016,784.0,75.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,2030.0,43.5,Kamenetzky et al. 2016,,,,
nan,800.0,43.5,Kamenetzky et al. 2016,,,,
468.0,108.5,43.5,Kamenetzky et al. 2016,,,,
nan,235.0,43.5,Kamenetzky et al. 2016,,,,
nan,338.0,43.5,Kamenetzky et al. 2016,,,,
nan,280.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,276.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,292.0,43.5,Kamenetzky et al. 2016,,,,
