CO,error,beam,ref,CI,error,beam,ref
541.75,161.00786083294193,43.5,Kamenetzky et al. 2016,672.0,161.5,43.5,Kamenetzky et al. 2016
1915.0,206.8861401834352,43.5,Kamenetzky et al. 2016,664.0,57.5,43.5,Kamenetzky et al. 2016
1870.0,211.0,43.5,Kamenetzky et al. 2016,,,,
1340.0,170.0,43.5,Kamenetzky et al. 2016,,,,
1260.0,120.0,43.5,Kamenetzky et al. 2016,,,,
943.0,83.0,43.5,Kamenetzky et al. 2016,,,,
587.0,59.5,43.5,Kamenetzky et al. 2016,,,,
275.0,73.0,43.5,Kamenetzky et al. 2016,,,,
nan,560.0,43.5,Kamenetzky et al. 2016,,,,
nan,462.0,43.5,Kamenetzky et al. 2016,,,,
nan,668.0,43.5,Kamenetzky et al. 2016,,,,
nan,271.0,43.5,Kamenetzky et al. 2016,,,,
nan,663.0,43.5,Kamenetzky et al. 2016,,,,
