CO,error,beam,ref,CI,error,beam,ref
694.6666666666666,80.78137505363199,43.5,Kamenetzky et al. 2016,2560.0,355.0,43.5,Kamenetzky et al. 2016
3750.0,189.0,43.5,Kamenetzky et al. 2016,3780.0,90.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
5830.0,420.0,43.5,Kamenetzky et al. 2016,,,,
5490.0,250.0,43.5,Kamenetzky et al. 2016,,,,
5330.0,115.0,43.5,Kamenetzky et al. 2016,,,,
4050.0,95.0,43.5,Kamenetzky et al. 2016,,,,
3080.0,145.0,43.5,Kamenetzky et al. 2016,,,,
1850.0,150.0,43.5,Kamenetzky et al. 2016,,,,
1170.0,120.0,43.5,Kamenetzky et al. 2016,,,,
912.0,109.0,43.5,Kamenetzky et al. 2016,,,,
362.0,100.0,43.5,Kamenetzky et al. 2016,,,,
nan,625.0,43.5,Kamenetzky et al. 2016,,,,
