CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,219.0,55.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,44.7,19.799999999999997,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
349.0,80.5,43.5,Kamenetzky et al. 2016,,,,
183.0,50.0,43.5,Kamenetzky et al. 2016,,,,
131.0,25.0,43.5,Kamenetzky et al. 2016,,,,
111.0,19.450000000000003,43.5,Kamenetzky et al. 2016,,,,
nan,87.9,43.5,Kamenetzky et al. 2016,,,,
133.0,50.5,43.5,Kamenetzky et al. 2016,,,,
161.0,43.5,43.5,Kamenetzky et al. 2016,,,,
165.0,49.0,43.5,Kamenetzky et al. 2016,,,,
119.0,39.35,43.5,Kamenetzky et al. 2016,,,,
199.0,45.5,43.5,Kamenetzky et al. 2016,,,,
