CO,error,beam,ref,CI,error,beam,ref
418.0,41.71640676939949,43.5,Kamenetzky et al. 2016,1780.0,190.0,43.5,Kamenetzky et al. 2016
1240.0,110.25538535599973,43.5,Kamenetzky et al. 2016,1910.0,35.0,43.5,Kamenetzky et al. 2016
1960.0,208.2432471894347,43.5,Kamenetzky et al. 2016,,,,
2070.0,225.0,43.5,Kamenetzky et al. 2016,,,,
1810.0,105.0,43.5,Kamenetzky et al. 2016,,,,
1520.0,45.0,43.5,Kamenetzky et al. 2016,,,,
928.0,42.0,43.5,Kamenetzky et al. 2016,,,,
601.0,49.5,43.5,Kamenetzky et al. 2016,,,,
444.0,58.5,43.5,Kamenetzky et al. 2016,,,,
311.0,52.0,43.5,Kamenetzky et al. 2016,,,,
169.0,39.5,43.5,Kamenetzky et al. 2016,,,,
172.0,30.5,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
