CO,error,beam,ref,CI,error,beam,ref
4273.333333333333,2548.212045565805,43.5,Kamenetzky et al. 2016,975.0,247.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,828.0,75.5,43.5,Kamenetzky et al. 2016
2950.0,485.5,43.5,Kamenetzky et al. 2016,,,,
1010.0,273.5,43.5,Kamenetzky et al. 2016,,,,
602.0,243.0,43.5,Kamenetzky et al. 2016,,,,
nan,438.0,43.5,Kamenetzky et al. 2016,,,,
nan,311.0,43.5,Kamenetzky et al. 2016,,,,
nan,426.0,43.5,Kamenetzky et al. 2016,,,,
nan,493.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,751.0,43.5,Kamenetzky et al. 2016,,,,
nan,287.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
