CO,error,beam,ref,CI,error,beam,ref
570.0,46.5031601076744,43.5,Kamenetzky et al. 2016,1380.0,459.0,43.5,Kamenetzky et al. 2016
1174.5,123.16414098673363,43.5,Kamenetzky et al. 2016,1420.0,105.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,2630.0,43.5,Kamenetzky et al. 2016,,,,
2280.0,265.0,43.5,Kamenetzky et al. 2016,,,,
1850.0,135.0,43.5,Kamenetzky et al. 2016,,,,
1190.0,120.0,43.5,Kamenetzky et al. 2016,,,,
950.0,129.5,43.5,Kamenetzky et al. 2016,,,,
670.0,168.0,43.5,Kamenetzky et al. 2016,,,,
416.0,143.5,43.5,Kamenetzky et al. 2016,,,,
nan,629.0,43.5,Kamenetzky et al. 2016,,,,
286.0,112.5,43.5,Kamenetzky et al. 2016,,,,
nan,362.0,43.5,Kamenetzky et al. 2016,,,,
