CO,error,beam,ref,CI,error,beam,ref
174.0,11.256248264852726,43.5,Kamenetzky et al. 2016,677.0,192.0,43.5,Kamenetzky et al. 2016
589.5,51.0324651569959,43.5,Kamenetzky et al. 2016,818.0,53.5,43.5,Kamenetzky et al. 2016
895.0,68.0,43.5,Kamenetzky et al. 2016,,,,
1610.0,225.0,43.5,Kamenetzky et al. 2016,,,,
1430.0,95.0,43.5,Kamenetzky et al. 2016,,,,
1230.0,55.0,43.5,Kamenetzky et al. 2016,,,,
1130.0,55.0,43.5,Kamenetzky et al. 2016,,,,
880.0,53.0,43.5,Kamenetzky et al. 2016,,,,
1310.0,80.0,43.5,Kamenetzky et al. 2016,,,,
953.0,67.0,43.5,Kamenetzky et al. 2016,,,,
946.0,68.5,43.5,Kamenetzky et al. 2016,,,,
609.0,61.0,43.5,Kamenetzky et al. 2016,,,,
275.0,104.0,43.5,Kamenetzky et al. 2016,,,,
