CO,error,beam,ref,CI,error,beam,ref
649.3333333333334,93.88175334489185,43.5,Kamenetzky et al. 2016,2150.0,220.0,43.5,Kamenetzky et al. 2016
3810.0,202.0,43.5,Kamenetzky et al. 2016,2740.0,60.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
4170.0,270.0,43.5,Kamenetzky et al. 2016,,,,
4030.0,165.0,43.5,Kamenetzky et al. 2016,,,,
3430.0,90.0,43.5,Kamenetzky et al. 2016,,,,
2340.0,60.0,43.5,Kamenetzky et al. 2016,,,,
1760.0,110.0,43.5,Kamenetzky et al. 2016,,,,
1430.0,125.0,43.5,Kamenetzky et al. 2016,,,,
860.0,95.5,43.5,Kamenetzky et al. 2016,,,,
561.0,93.0,43.5,Kamenetzky et al. 2016,,,,
nan,409.0,43.5,Kamenetzky et al. 2016,,,,
nan,629.0,43.5,Kamenetzky et al. 2016,,,,
