CO,error,beam,ref,CI,error,beam,ref
47.4,4.7,23,Montoya Arroyave et al.2023,67.7,16.4,13,Montoya Arroyave et al.2023
80.6,6.1,27,Montoya Arroyave et al.2023,,,,
nan,nan,nan,Montoya Arroyave et al.2023,,,,
