CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,477.0,174.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,220.0,34.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
670.0,203.5,43.5,Kamenetzky et al. 2016,,,,
339.0,99.0,43.5,Kamenetzky et al. 2016,,,,
190.0,51.5,43.5,Kamenetzky et al. 2016,,,,
nan,134.0,43.5,Kamenetzky et al. 2016,,,,
nan,185.0,43.5,Kamenetzky et al. 2016,,,,
nan,171.0,43.5,Kamenetzky et al. 2016,,,,
nan,161.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,142.0,43.5,Kamenetzky et al. 2016,,,,
nan,211.0,43.5,Kamenetzky et al. 2016,,,,
