CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,1020.0,166.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,852.0,52.0,43.5,Kamenetzky et al. 2016
4570.0,705.0,43.5,Kamenetzky et al. 2016,,,,
2370.0,220.0,43.5,Kamenetzky et al. 2016,,,,
1740.0,165.0,43.5,Kamenetzky et al. 2016,,,,
1210.0,80.0,43.5,Kamenetzky et al. 2016,,,,
526.0,51.0,43.5,Kamenetzky et al. 2016,,,,
nan,347.0,43.5,Kamenetzky et al. 2016,,,,
nan,394.0,43.5,Kamenetzky et al. 2016,,,,
369.0,111.5,43.5,Kamenetzky et al. 2016,,,,
nan,621.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,682.0,43.5,Kamenetzky et al. 2016,,,,
