CO,error,beam,ref,CI,error,beam,ref
332.0,76.74736457201641,43.5,Kamenetzky et al. 2016,1150.0,417.0,43.5,Kamenetzky et al. 2016
935.0,72.0,43.5,Kamenetzky et al. 2016,761.0,82.5,43.5,Kamenetzky et al. 2016
1495.0,113.94872750496164,43.5,Kamenetzky et al. 2016,,,,
nan,2030.0,43.5,Kamenetzky et al. 2016,,,,
1380.0,295.0,43.5,Kamenetzky et al. 2016,,,,
948.0,119.0,43.5,Kamenetzky et al. 2016,,,,
575.0,81.0,43.5,Kamenetzky et al. 2016,,,,
507.0,126.0,43.5,Kamenetzky et al. 2016,,,,
519.0,160.5,43.5,Kamenetzky et al. 2016,,,,
479.0,148.5,43.5,Kamenetzky et al. 2016,,,,
nan,464.0,43.5,Kamenetzky et al. 2016,,,,
nan,446.0,43.5,Kamenetzky et al. 2016,,,,
nan,560.0,43.5,Kamenetzky et al. 2016,,,,
