CO,error,beam,ref,CI,error,beam,ref
257.2,26.08862779066772,43.5,Kamenetzky et al. 2016,842.0,266.5,43.5,Kamenetzky et al. 2016
563.0,70.5,43.5,Kamenetzky et al. 2016,996.0,51.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
2290.0,365.0,43.5,Kamenetzky et al. 2016,,,,
1780.0,185.0,43.5,Kamenetzky et al. 2016,,,,
1320.0,95.0,43.5,Kamenetzky et al. 2016,,,,
992.0,52.0,43.5,Kamenetzky et al. 2016,,,,
652.0,61.0,43.5,Kamenetzky et al. 2016,,,,
698.0,81.5,43.5,Kamenetzky et al. 2016,,,,
476.0,75.0,43.5,Kamenetzky et al. 2016,,,,
339.0,69.0,43.5,Kamenetzky et al. 2016,,,,
233.0,62.0,43.5,Kamenetzky et al. 2016,,,,
nan,328.0,43.5,Kamenetzky et al. 2016,,,,
