CO,error,beam,ref,CI,error,beam,ref
149.0,9.0,43.5,Kamenetzky et al. 2016,584.0,260.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,393.0,53.0,43.5,Kamenetzky et al. 2016
714.0,113.5,43.5,Kamenetzky et al. 2016,,,,
1070.0,326.5,43.5,Kamenetzky et al. 2016,,,,
nan,820.0,43.5,Kamenetzky et al. 2016,,,,
344.0,107.0,43.5,Kamenetzky et al. 2016,,,,
nan,276.0,43.5,Kamenetzky et al. 2016,,,,
nan,322.0,43.5,Kamenetzky et al. 2016,,,,
nan,352.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,605.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
