CO,error,beam,ref,CI,error,beam,ref
233.61999999999998,51.76922101017168,43.5,Kamenetzky et al. 2016,1320.0,190.0,43.5,Kamenetzky et al. 2016
1820.0,478.74144900979695,43.5,Kamenetzky et al. 2016,1510.0,45.0,43.5,Kamenetzky et al. 2016
1790.0,196.5961914687057,43.5,Kamenetzky et al. 2016,,,,
2360.0,235.0,43.5,Kamenetzky et al. 2016,,,,
2300.0,110.0,43.5,Kamenetzky et al. 2016,,,,
1790.0,55.0,43.5,Kamenetzky et al. 2016,,,,
1220.0,45.0,43.5,Kamenetzky et al. 2016,,,,
831.0,66.0,43.5,Kamenetzky et al. 2016,,,,
628.0,61.0,43.5,Kamenetzky et al. 2016,,,,
406.0,53.5,43.5,Kamenetzky et al. 2016,,,,
301.0,50.0,43.5,Kamenetzky et al. 2016,,,,
203.0,48.0,43.5,Kamenetzky et al. 2016,,,,
196.0,66.5,43.5,Kamenetzky et al. 2016,,,,
