CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,594.0,105.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,1080.0,50.0,43.5,Kamenetzky et al. 2016
3380.0,415.9929386419918,43.5,Kamenetzky et al. 2016,,,,
909.0,101.0,43.5,Kamenetzky et al. 2016,,,,
1070.0,107.0,43.5,Kamenetzky et al. 2016,,,,
614.0,60.0,43.5,Kamenetzky et al. 2016,,,,
372.0,50.5,43.5,Kamenetzky et al. 2016,,,,
nan,280.0,43.5,Kamenetzky et al. 2016,,,,
nan,626.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,622.0,43.5,Kamenetzky et al. 2016,,,,
nan,405.0,43.5,Kamenetzky et al. 2016,,,,
