CO,error,beam,ref,CI,error,beam,ref
nan,nan,43.5,Kamenetzky et al. 2016,1040.0,192.0,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,679.0,64.5,43.5,Kamenetzky et al. 2016
2930.0,452.0,43.5,Kamenetzky et al. 2016,,,,
644.0,232.0,43.5,Kamenetzky et al. 2016,,,,
594.0,216.0,43.5,Kamenetzky et al. 2016,,,,
nan,431.0,43.5,Kamenetzky et al. 2016,,,,
nan,244.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,604.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,615.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
