CO,error,beam,ref,CI,error,beam,ref
256.0,137.83236194740334,43.5,Kamenetzky et al. 2016,908.0,277.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,712.0,71.0,43.5,Kamenetzky et al. 2016
1240.0,192.5,43.5,Kamenetzky et al. 2016,,,,
1590.0,275.0,43.5,Kamenetzky et al. 2016,,,,
665.0,189.0,43.5,Kamenetzky et al. 2016,,,,
374.0,112.5,43.5,Kamenetzky et al. 2016,,,,
nan,250.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,922.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,919.0,43.5,Kamenetzky et al. 2016,,,,
nan,1020.0,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
