CO,error,beam,ref,CI,error,beam,ref
50.3,5.422147291433532,43.5,Kamenetzky et al. 2016,nan,nan,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,292.0,52.5,43.5,Kamenetzky et al. 2016
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
nan,nan,43.5,Kamenetzky et al. 2016,,,,
370.0,52.0,43.5,Kamenetzky et al. 2016,,,,
223.0,68.5,43.5,Kamenetzky et al. 2016,,,,
296.0,75.5,43.5,Kamenetzky et al. 2016,,,,
185.0,51.5,43.5,Kamenetzky et al. 2016,,,,
nan,232.0,43.5,Kamenetzky et al. 2016,,,,
nan,149.0,43.5,Kamenetzky et al. 2016,,,,
103.0,43.45,43.5,Kamenetzky et al. 2016,,,,
