CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,541.75,161.00786083294193,1.0,672.0,161.5,24.0,nan,nan
2.0,1915.0,206.8861401834352,2.0,664.0,57.5,70.0,22.20996186839205,0.010962766110038444
3.0,1870.0,211.0,,,,100.0,31.105231690839457,0.01017504579041885
4.0,1340.0,170.0,,,,160.0,25.479391635899407,0.01019138800189067
5.0,1260.0,120.0,,,,250.0,9.173512669121347,0.00535939823379225
6.0,943.0,83.0,,,,350.0,3.3236123811370017,0.004751007734818808
7.0,587.0,59.5,,,,500.0,0.99442537030622,0.001861368723864699
8.0,275.0,73.0,,,,,,
9.0,nan,560.0,,,,,,
10.0,nan,462.0,,,,,,
11.0,nan,668.0,,,,,,
12.0,nan,271.0,,,,,,
13.0,nan,663.0,,,,,,
