CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,219.0,55.0,24.0,nan,nan
2.0,nan,nan,2.0,44.7,19.799999999999997,70.0,7.002607094693394,0.014801733407296106
3.0,nan,nan,,,,100.0,5.714023074275167,0.006612474963163806
4.0,349.0,80.5,,,,160.0,3.177028127224043,0.006664480997409578
5.0,183.0,50.0,,,,250.0,1.0149805898628768,0.008076270263214929
6.0,131.0,25.0,,,,350.0,0.34739942180246586,0.0036304819129114783
7.0,111.0,19.450000000000003,,,,500.0,0.09655759450808309,0.0017393818178696062
8.0,nan,87.9,,,,,,
9.0,133.0,50.5,,,,,,
10.0,161.0,43.5,,,,,,
11.0,165.0,49.0,,,,,,
12.0,119.0,39.35,,,,,,
13.0,199.0,45.5,,,,,,
