CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,694.6666666666666,80.78137505363199,1.0,2560.0,355.0,24.0,nan,nan
2.0,3750.0,189.0,2.0,3780.0,90.0,70.0,88.43215910405378,0.033128932260274725
3.0,nan,nan,,,,100.0,103.65931744494637,0.038866651676331194
4.0,5830.0,420.0,,,,160.0,72.1832840326387,0.09642198403659852
5.0,5490.0,250.0,,,,250.0,23.955863454897013,0.003981180474028526
6.0,5330.0,115.0,,,,350.0,8.364247707780848,0.004003768726501362
7.0,4050.0,95.0,,,,500.0,2.3482208495970407,0.0014702790908668268
8.0,3080.0,145.0,,,,,,
9.0,1850.0,150.0,,,,,,
10.0,1170.0,120.0,,,,,,
11.0,912.0,109.0,,,,,,
12.0,362.0,100.0,,,,,,
13.0,nan,625.0,,,,,,
