CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,4480.0,447.5,1.0,1450.0,175.0,24.0,nan,nan
2.0,3600.0,361.44018868963644,2.0,1150.0,55.0,70.0,17.878090715537134,0.008191500225851406
3.0,2170.0,328.0,,,,100.0,28.451696439659397,0.010644888979891961
4.0,1620.0,215.0,,,,160.0,24.546735161367458,0.020154514935170512
5.0,2380.0,120.0,,,,250.0,9.311746925634584,0.00702035851424833
6.0,1960.0,85.0,,,,350.0,3.38855956877834,0.00384465056353103
7.0,1280.0,50.0,,,,500.0,1.0423839500794558,0.0012249273265848531
8.0,929.0,66.0,,,,,,
9.0,1380.0,135.0,,,,,,
10.0,1170.0,105.0,,,,,,
11.0,626.0,133.5,,,,,,
12.0,369.0,101.5,,,,,,
13.0,358.0,186.0,,,,,,
