CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,324.63316646055506,79.38396675523339,24.0,1.0402142666610057,0.01601816950719141
2.0,nan,nan,2.0,464.0,45.0,70.0,9.13849901523114,0.015854500786033596
3.0,nan,nan,,,,100.0,10.085489536952684,0.011845669278561273
4.0,nan,nan,,,,160.0,6.88853217068322,0.011448489330111208
5.0,nan,nan,,,,250.0,2.362590399620845,0.0037627443989849373
6.0,534.807682083731,61.8785747865474,,,,350.0,0.8332806844254295,0.005768502433364618
7.0,628.943753320414,41.6769957019551,,,,500.0,0.24786342569515846,0.005218676561235893
8.0,nan,nan,,,,,,
9.0,445.064402318054,56.0014810863776,,,,,,
10.0,321.017045717037,42.4485349708479,,,,,,
