CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,453.4743935378754,58.495588639004175,24.0,0.9324090032639974,0.014449715492834869
2.0,153.0,17.3,2.0,515.0,24.0,70.0,12.736069867675171,0.01950394977877367
3.0,433.40267080261066,142.8148021947624,,,,100.0,12.86138786235612,0.02730548673198348
4.0,nan,nan,,,,160.0,7.9389614572649245,0.020101931419990417
5.0,832.978046013168,71.7133417097429,,,,250.0,2.3617226902034534,0.1029173762712582
6.0,795.333163661305,36.7784121924302,,,,350.0,0.749387281438583,0.04738484572801322
7.0,744.82843200376,23.6453470477384,,,,500.0,0.18911514709420169,0.016940168040168155
8.0,617.299861927343,24.1402180641978,,,,,,
9.0,524.24312615001,39.8547405845037,,,,,,
10.0,333.901842771633,24.8356742557413,,,,,,
11.0,275.988310883853,22.580861799588,,,,,,
12.0,197.820417024506,20.7021366653553,,,,,,
