CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,288.0,23.0,1.0,824.0,420.0,24.0,0.7404259137213884,0.027293628407318013
2.0,1320.0,100.0,2.0,1030.0,93.0,70.0,19.11350917084105,0.0332540585197512
3.0,1330.0,100.5,,,,100.0,26.370381092210206,0.04217458676497005
4.0,nan,nan,,,,160.0,21.09470321938967,0.027891007439351603
5.0,1640.0,290.0,,,,250.0,8.004213861850841,0.05008595158048718
6.0,1180.0,130.0,,,,350.0,3.0121612259960076,0.02798917820005858
7.0,802.0,92.0,,,,500.0,0.7902836328215931,0.013928686224886497
8.0,596.0,122.0,,,,,,
9.0,565.0,138.5,,,,,,
10.0,304.0,100.0,,,,,,
11.0,nan,435.0,,,,,,
12.0,nan,261.0,,,,,,
13.0,nan,379.0,,,,,,
