CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,396.0,21.05,1.0,1130.0,281.0,24.0,nan,nan
2.0,nan,nan,2.0,1780.0,70.0,70.0,8.610400200843682,0.0067321896942552405
3.0,1370.0,209.5,,,,100.0,11.387418189696781,0.06687607729427926
4.0,1660.0,300.0,,,,160.0,10.311026516653532,0.15860815710838222
5.0,1550.0,210.0,,,,250.0,4.7089451136432965,0.002935271517335033
6.0,1180.0,100.0,,,,350.0,1.781093476040083,0.0018990686861874895
7.0,740.0,68.0,,,,500.0,0.548484451353442,0.0015279546780815115
8.0,698.0,88.0,,,,,,
9.0,445.0,131.5,,,,,,
10.0,334.0,116.0,,,,,,
11.0,403.0,122.5,,,,,,
12.0,306.0,90.0,,,,,,
13.0,nan,351.0,,,,,,
