CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,nan,nan,1.0,881.6781602677574,221.95137850295148,24.0,0.9531088626297459,0.02875334639369496
2.0,305.86154011295,31.2135962346273,2.0,397.0,34.0,70.0,6.973707206600234,0.02040273582133196
3.0,nan,nan,,,,100.0,9.749901712749976,0.016619287374159172
4.0,nan,nan,,,,160.0,9.058136864385505,0.0256227240923171
5.0,nan,nan,,,,250.0,3.784269741872063,0.03367629571887944
6.0,nan,nan,,,,350.0,1.3929914515720296,0.01625095463091901
7.0,246.381939655382,30.3239310345085,,,,500.0,0.42831382402988605,0.007026922449482017
