CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,145.0,36.3,1.0,760.2163023221697,198.53529766744043,24.0,0.7024196562888836,0.042146624952145356
2.0,539.0,135.0,2.0,419.0,30.0,70.0,7.338591135437888,0.039789031642841935
3.0,nan,nan,,,,100.0,10.951927828422702,0.06222397338636701
4.0,nan,nan,,,,160.0,10.15482334600099,0.040952296075488594
5.0,nan,nan,,,,250.0,4.198355500133806,0.01520520001148412
6.0,463.56543094079,52.9789063932331,,,,350.0,1.587596329689626,0.0058476287932691644
7.0,276.271481567928,37.8454084339628,,,,500.0,0.4991615770041443,0.004063231114197023
