CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,205.5,17.274981910265492,1.0,937.0,231.0,24.0,1.7383862354631119,0.019903180907946592
2.0,nan,nan,2.0,850.0,66.0,70.0,41.62864964047909,0.02675712507560798
3.0,nan,nan,,,,100.0,48.344015421807086,0.03254254474627202
4.0,2580.0,285.0,,,,160.0,33.467265927237804,0.023741004213076476
5.0,1990.0,150.0,,,,250.0,12.077829461411667,0.017777348698192683
6.0,1820.0,80.0,,,,350.0,4.4950801212083125,0.011194915831825256
7.0,1230.0,60.0,,,,500.0,1.2573822095960285,0.00445317545227804
8.0,811.0,79.5,,,,,,
9.0,801.0,96.0,,,,,,
10.0,757.0,76.5,,,,,,
11.0,336.0,73.0,,,,,,
12.0,256.0,56.5,,,,,,
13.0,nan,353.0,,,,,,
