CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,174.0,11.256248264852726,1.0,677.0,192.0,24.0,nan,nan
2.0,589.5,51.0324651569959,2.0,818.0,53.5,70.0,15.761056745756246,0.011222802754844087
3.0,895.0,68.0,,,,100.0,17.509193816521773,0.008594121402288888
4.0,1610.0,225.0,,,,160.0,11.289577913377439,0.008150313075654635
5.0,1430.0,95.0,,,,250.0,3.75032211357631,0.01892036610286648
6.0,1230.0,55.0,,,,350.0,1.27546495735908,0.007944429963091413
7.0,1130.0,55.0,,,,500.0,0.34276096468823386,0.004780553031369627
8.0,880.0,53.0,,,,,,
9.0,1310.0,80.0,,,,,,
10.0,953.0,67.0,,,,,,
11.0,946.0,68.5,,,,,,
12.0,609.0,61.0,,,,,,
13.0,275.0,104.0,,,,,,
