CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,138.0,12.994830703014182,1.0,943.0,336.0,24.0,0.6800712521229842,0.027264854944483254
2.0,369.0,46.1,2.0,155.0,65.35,70.0,6.878122322025584,0.024226311885506082
3.0,722.0,83.5,,,,100.0,8.984826322284448,0.009280820344312593
4.0,1430.0,430.0,,,,160.0,7.374970238560404,0.01745622832370112
5.0,691.0,225.0,,,,250.0,2.915935042077208,0.034556353333818055
6.0,517.0,109.0,,,,350.0,1.0922321068787313,0.014581695262429455
7.0,nan,239.0,,,,500.0,0.34224940867027215,0.005282063060073107
8.0,nan,256.0,,,,,,
9.0,nan,437.0,,,,,,
10.0,nan,nan,,,,,,
11.0,nan,504.0,,,,,,
12.0,nan,271.0,,,,,,
13.0,nan,346.0,,,,,,
