CO Jup,flux,error,CI Jup,flux,error,dust wavelength,flux,error
1.0,420.5,95.32176266467171,1.0,1220.0,247.0,24.0,nan,nan
2.0,755.0,201.71901868688533,2.0,1250.0,65.0,70.0,42.15627330442885,0.011725218162297397
3.0,nan,nan,,,,100.0,52.36392433104218,0.012723436934840288
4.0,1740.0,310.0,,,,160.0,38.63249749279799,0.010668389142818136
5.0,2150.0,180.0,,,,250.0,13.188843486630484,0.006052900472901437
6.0,1800.0,105.0,,,,350.0,4.696182464633003,0.004817217912136251
7.0,868.0,65.0,,,,500.0,1.3036321605114936,0.002713709859282307
8.0,388.0,119.5,,,,,,
9.0,400.0,143.0,,,,,,
10.0,546.0,122.0,,,,,,
11.0,509.0,154.0,,,,,,
12.0,nan,424.0,,,,,,
13.0,589.0,274.5,,,,,,
